,electrophile,nucleophile,catalyst,base,miser_area_count,max,relative_count
1110,e7,n15,Xphos Pd G3 36,P2Et 29,249.0,700.0000001,0.3557142856634694
1123,e7,n15,tBuBrettPhos Pd G3 43,BEMP 27,337.0,700.0000001,0.48142857135979594
1122,e7,n15,tBuBrettPhos Pd G3 43,BTMG 26,358.0,700.0000001,0.5114285713555102
1124,e7,n15,tBuBrettPhos Pd G3 43,BTTP 28,539.0,700.0000001,0.76999999989
1120,e7,n15,tBuBrettPhos Pd G3 43,DBU 24,270.0,700.0000001,0.3857142856591837
1121,e7,n15,tBuBrettPhos Pd G3 43,MTBD 25,300.0,700.0000001,0.4285714285102041
1125,e7,n15,tBuBrettPhos Pd G3 43,P1-t-octyl S17,474.0,700.0000001,0.6771428570461225
1127,e7,n15,tBuBrettPhos Pd G3 43,P2-t-Bu S18,700.0,700.0000001,0.9999999998571429
1126,e7,n15,tBuBrettPhos Pd G3 43,P2Et 29,688.0,700.0000001,0.9828571427167347
1115,e7,n15,tBuXPHOS Pd G3 42,BEMP 27,321.0,700.0000001,0.45857142850591837
1114,e7,n15,tBuXPHOS Pd G3 42,BTMG 26,283.0,700.0000001,0.4042857142279592
1116,e7,n15,tBuXPHOS Pd G3 42,BTTP 28,266.0,700.0000001,0.3799999999457143
1112,e7,n15,tBuXPHOS Pd G3 42,DBU 24,307.0,700.0000001,0.4385714285087755
1113,e7,n15,tBuXPHOS Pd G3 42,MTBD 25,273.0,700.0000001,0.38999999994428575
1117,e7,n15,tBuXPHOS Pd G3 42,P1-t-octyl S17,282.0,700.0000001,0.40285714279959184
1119,e7,n15,tBuXPHOS Pd G3 42,P2-t-Bu S18,286.0,700.0000001,0.4085714285130612
1118,e7,n15,tBuXPHOS Pd G3 42,P2Et 29,260.0,700.0000001,0.3714285713755102
1187,e7,n16,AdBrettPhos Pd G3 45,BEMP 27,233.0,2002.0000001,0.116383616377803
1186,e7,n16,AdBrettPhos Pd G3 45,BTMG 26,411.0,2002.0000001,0.20529470528445082
1188,e7,n16,AdBrettPhos Pd G3 45,BTTP 28,753.0,2002.0000001,0.3761238761050887
1184,e7,n16,AdBrettPhos Pd G3 45,DBU 24,248.0,2002.0000001,0.12387612386993625
1185,e7,n16,AdBrettPhos Pd G3 45,MTBD 25,328.0,2002.0000001,0.1638361638279802
1189,e7,n16,AdBrettPhos Pd G3 45,P1-t-octyl S17,240.0,2002.0000001,0.11988011987413186
1191,e7,n16,AdBrettPhos Pd G3 45,P2-t-Bu S18,289.0,2002.0000001,0.1443556443484338
1190,e7,n16,AdBrettPhos Pd G3 45,P2Et 29,246.0,2002.0000001,0.12287712287098515
1195,e7,n16,DTBPF Pd G3 38,BEMP 27,255.0,2002.0000001,0.1273726273662651
1194,e7,n16,DTBPF Pd G3 38,BTMG 26,251.0,2002.0000001,0.1253746253683629
1196,e7,n16,DTBPF Pd G3 38,BTTP 28,263.0,2002.0000001,0.1313686313620695
1192,e7,n16,DTBPF Pd G3 38,DBU 24,247.0,2002.0000001,0.12337662337046071
1193,e7,n16,DTBPF Pd G3 38,MTBD 25,246.0,2002.0000001,0.12287712287098515
1197,e7,n16,DTBPF Pd G3 38,P1-t-octyl S17,262.0,2002.0000001,0.13086913086259394
1199,e7,n16,DTBPF Pd G3 38,P2-t-Bu S18,256.0,2002.0000001,0.12787212786574065
1198,e7,n16,DTBPF Pd G3 38,P2Et 29,255.0,2002.0000001,0.1273726273662651
1179,e7,n16,RockPhos Pd G3 44,BEMP 27,272.0,2002.0000001,0.13586413585734944
1178,e7,n16,RockPhos Pd G3 44,BTMG 26,385.0,2002.0000001,0.19230769229808653
1180,e7,n16,RockPhos Pd G3 44,BTTP 28,269.0,2002.0000001,0.1343656343589228
1176,e7,n16,RockPhos Pd G3 44,DBU 24,287.0,2002.0000001,0.14335664334948267
1177,e7,n16,RockPhos Pd G3 44,MTBD 25,534.0,2002.0000001,0.2667332667199434
1181,e7,n16,RockPhos Pd G3 44,P1-t-octyl S17,239.0,2002.0000001,0.11938061937465631
1183,e7,n16,RockPhos Pd G3 44,P2-t-Bu S18,267.0,2002.0000001,0.1333666333599717
1182,e7,n16,RockPhos Pd G3 44,P2Et 29,243.0,2002.0000001,0.1213786213725585
1155,e7,n16,Xphos Pd G3 36,BEMP 27,348.0,2002.0000001,0.1738261738174912
1154,e7,n16,Xphos Pd G3 36,BTMG 26,326.0,2002.0000001,0.1628371628290291
1156,e7,n16,Xphos Pd G3 36,BTTP 28,309.0,2002.0000001,0.15434565433794475
1152,e7,n16,Xphos Pd G3 36,DBU 24,311.0,2002.0000001,0.15534465533689587
1153,e7,n16,Xphos Pd G3 36,MTBD 25,307.0,2002.0000001,0.15334665333899367
1157,e7,n16,Xphos Pd G3 36,P1-t-octyl S17,358.0,2002.0000001,0.17882117881224668
1159,e7,n16,Xphos Pd G3 36,P2-t-Bu S18,319.0,2002.0000001,0.15934065933270025
1158,e7,n16,Xphos Pd G3 36,P2Et 29,404.0,2002.0000001,0.20179820178812197
1171,e7,n16,tBuBrettPhos Pd G3 43,BEMP 27,271.0,2002.0000001,0.13536463535787388
1170,e7,n16,tBuBrettPhos Pd G3 43,BTMG 26,1156.0,2002.0000001,0.5774225773937351
1172,e7,n16,tBuBrettPhos Pd G3 43,BTTP 28,2002.0,2002.0000001,0.99999999995005
1168,e7,n16,tBuBrettPhos Pd G3 43,DBU 24,278.0,2002.0000001,0.13886113885420273
1169,e7,n16,tBuBrettPhos Pd G3 43,MTBD 25,924.0,2002.0000001,0.46153846151540767
1173,e7,n16,tBuBrettPhos Pd G3 43,P1-t-octyl S17,270.0,2002.0000001,0.13486513485839835
1175,e7,n16,tBuBrettPhos Pd G3 43,P2-t-Bu S18,470.0,2002.0000001,0.23476523475350822
1174,e7,n16,tBuBrettPhos Pd G3 43,P2Et 29,264.0,2002.0000001,0.13186813186154503
1163,e7,n16,tBuXPHOS Pd G3 42,BEMP 27,317.0,2002.0000001,0.15834165833374916
1162,e7,n16,tBuXPHOS Pd G3 42,BTMG 26,381.0,2002.0000001,0.19030969030018433
1164,e7,n16,tBuXPHOS Pd G3 42,BTTP 28,395.0,2002.0000001,0.19730269729284203
1160,e7,n16,tBuXPHOS Pd G3 42,DBU 24,263.0,2002.0000001,0.1313686313620695
1161,e7,n16,tBuXPHOS Pd G3 42,MTBD 25,320.0,2002.0000001,0.1598401598321758
1165,e7,n16,tBuXPHOS Pd G3 42,P1-t-octyl S17,272.0,2002.0000001,0.13586413585734944
1167,e7,n16,tBuXPHOS Pd G3 42,P2-t-Bu S18,261.0,2002.0000001,0.13036963036311838
1166,e7,n16,tBuXPHOS Pd G3 42,P2Et 29,240.0,2002.0000001,0.11988011987413186
1235,e7,n17,AdBrettPhos Pd G3 45,BEMP 27,337.0,726.0000001,0.46418732775975385
1234,e7,n17,AdBrettPhos Pd G3 45,BTMG 26,361.0,726.0000001,0.4972451789948698
1236,e7,n17,AdBrettPhos Pd G3 45,BTTP 28,313.0,726.0000001,0.43112947652463784
1232,e7,n17,AdBrettPhos Pd G3 45,DBU 24,284.0,726.0000001,0.39118457294887266
1233,e7,n17,AdBrettPhos Pd G3 45,MTBD 25,359.0,726.0000001,0.4944903580586102
1237,e7,n17,AdBrettPhos Pd G3 45,P1-t-octyl S17,282.0,726.0000001,0.388429752012613
1239,e7,n17,AdBrettPhos Pd G3 45,P2-t-Bu S18,287.0,726.0000001,0.39531680435326216
1238,e7,n17,AdBrettPhos Pd G3 45,P2Et 29,275.0,726.0000001,0.3787878787357042
1243,e7,n17,DTBPF Pd G3 38,BEMP 27,273.0,726.0000001,0.3760330577994445
1242,e7,n17,DTBPF Pd G3 38,BTMG 26,276.0,726.0000001,0.380165289203834
1244,e7,n17,DTBPF Pd G3 38,BTTP 28,273.0,726.0000001,0.3760330577994445
1240,e7,n17,DTBPF Pd G3 38,DBU 24,274.0,726.0000001,0.37741046826757435
1241,e7,n17,DTBPF Pd G3 38,MTBD 25,278.0,726.0000001,0.38292011014009364
1245,e7,n17,DTBPF Pd G3 38,P1-t-octyl S17,272.0,726.0000001,0.3746556473313147
1247,e7,n17,DTBPF Pd G3 38,P2-t-Bu S18,268.0,726.0000001,0.36914600545879533
1246,e7,n17,DTBPF Pd G3 38,P2Et 29,271.0,726.0000001,0.37327823686318484
1227,e7,n17,RockPhos Pd G3 44,BEMP 27,481.0,726.0000001,0.6625344351704499
1226,e7,n17,RockPhos Pd G3 44,BTMG 26,461.0,726.0000001,0.6349862258078531
1228,e7,n17,RockPhos Pd G3 44,BTTP 28,364.0,726.0000001,0.5013774103992593
1224,e7,n17,RockPhos Pd G3 44,DBU 24,365.0,726.0000001,0.5027548208673892
1225,e7,n17,RockPhos Pd G3 44,MTBD 25,538.0,726.0000001,0.7410468318538503
1229,e7,n17,RockPhos Pd G3 44,P1-t-octyl S17,298.0,726.0000001,0.41046831950269036
1231,e7,n17,RockPhos Pd G3 44,P2-t-Bu S18,301.0,726.0000001,0.4146005509070798
1230,e7,n17,RockPhos Pd G3 44,P2Et 29,285.0,726.0000001,0.3925619834170025
1203,e7,n17,Xphos Pd G3 36,BEMP 27,383.0,726.0000001,0.5275482092937261
1202,e7,n17,Xphos Pd G3 36,BTMG 26,397.0,726.0000001,0.5468319558475438
1204,e7,n17,Xphos Pd G3 36,BTTP 28,386.0,726.0000001,0.5316804406981157
1200,e7,n17,Xphos Pd G3 36,DBU 24,431.0,726.0000001,0.5936639117639582
1201,e7,n17,Xphos Pd G3 36,MTBD 25,474.0,726.0000001,0.652892561893541
1205,e7,n17,Xphos Pd G3 36,P1-t-octyl S17,379.0,726.0000001,0.5220385674212068
1207,e7,n17,Xphos Pd G3 36,P2-t-Bu S18,365.0,726.0000001,0.5027548208673892
1206,e7,n17,Xphos Pd G3 36,P2Et 29,369.0,726.0000001,0.5082644627399086
1219,e7,n17,tBuBrettPhos Pd G3 43,BEMP 27,516.0,726.0000001,0.710743801554994
1218,e7,n17,tBuBrettPhos Pd G3 43,BTMG 26,726.0,726.0000001,0.999999999862259
1220,e7,n17,tBuBrettPhos Pd G3 43,BTTP 28,307.0,726.0000001,0.42286501371585883
1216,e7,n17,tBuBrettPhos Pd G3 43,DBU 24,346.0,726.0000001,0.4765840219729223
1217,e7,n17,tBuBrettPhos Pd G3 43,MTBD 25,535.0,726.0000001,0.7369146004494609
1221,e7,n17,tBuBrettPhos Pd G3 43,P1-t-octyl S17,360.0,726.0000001,0.49586776852674
1223,e7,n17,tBuBrettPhos Pd G3 43,P2-t-Bu S18,329.0,726.0000001,0.45316804401471517
1222,e7,n17,tBuBrettPhos Pd G3 43,P2Et 29,307.0,726.0000001,0.42286501371585883
1211,e7,n17,tBuXPHOS Pd G3 42,BEMP 27,416.0,726.0000001,0.5730027547420107
1210,e7,n17,tBuXPHOS Pd G3 42,BTMG 26,506.0,726.0000001,0.6969696968736957
1212,e7,n17,tBuXPHOS Pd G3 42,BTTP 28,379.0,726.0000001,0.5220385674212068
1208,e7,n17,tBuXPHOS Pd G3 42,DBU 24,359.0,726.0000001,0.4944903580586102
1209,e7,n17,tBuXPHOS Pd G3 42,MTBD 25,365.0,726.0000001,0.5027548208673892
1213,e7,n17,tBuXPHOS Pd G3 42,P1-t-octyl S17,334.0,726.0000001,0.46005509635536435
1215,e7,n17,tBuXPHOS Pd G3 42,P2-t-Bu S18,363.0,726.0000001,0.4999999999311295
1214,e7,n17,tBuXPHOS Pd G3 42,P2Et 29,332.0,726.0000001,0.4573002754191047
1331,e7,n19,AdBrettPhos Pd G3 45,BEMP 27,243.0,1423.0000001,0.17076598733866719
1330,e7,n19,AdBrettPhos Pd G3 45,BTMG 26,271.0,1423.0000001,0.19044272662048892
1332,e7,n19,AdBrettPhos Pd G3 45,BTTP 28,258.0,1423.0000001,0.18130709766821454
1328,e7,n19,AdBrettPhos Pd G3 45,DBU 24,229.0,1423.0000001,0.16092761769775632
1329,e7,n19,AdBrettPhos Pd G3 45,MTBD 25,262.0,1423.0000001,0.1841180604227605
1333,e7,n19,AdBrettPhos Pd G3 45,P1-t-octyl S17,260.0,1423.0000001,0.18271257904548752
1335,e7,n19,AdBrettPhos Pd G3 45,P2-t-Bu S18,256.0,1423.0000001,0.17990161629094154
1334,e7,n19,AdBrettPhos Pd G3 45,P2Et 29,225.0,1423.0000001,0.15811665494321034
1339,e7,n19,DTBPF Pd G3 38,BEMP 27,222.0,1423.0000001,0.15600843287730087
1338,e7,n19,DTBPF Pd G3 38,BTMG 26,223.0,1423.0000001,0.15671117356593736
1340,e7,n19,DTBPF Pd G3 38,BTTP 28,222.0,1423.0000001,0.15600843287730087
1336,e7,n19,DTBPF Pd G3 38,DBU 24,224.0,1423.0000001,0.15741391425457385
1337,e7,n19,DTBPF Pd G3 38,MTBD 25,223.0,1423.0000001,0.15671117356593736
1341,e7,n19,DTBPF Pd G3 38,P1-t-octyl S17,220.0,1423.0000001,0.1546029515000279
1343,e7,n19,DTBPF Pd G3 38,P2-t-Bu S18,222.0,1423.0000001,0.15600843287730087
1342,e7,n19,DTBPF Pd G3 38,P2Et 29,223.0,1423.0000001,0.15671117356593736
1323,e7,n19,RockPhos Pd G3 44,BEMP 27,240.0,1423.0000001,0.1686577652727577
1322,e7,n19,RockPhos Pd G3 44,BTMG 26,292.0,1423.0000001,0.2052002810818552
1324,e7,n19,RockPhos Pd G3 44,BTTP 28,260.0,1423.0000001,0.18271257904548752
1320,e7,n19,RockPhos Pd G3 44,DBU 24,270.0,1423.0000001,0.18973998593185243
1321,e7,n19,RockPhos Pd G3 44,MTBD 25,332.0,1423.0000001,0.23330990862731482
1325,e7,n19,RockPhos Pd G3 44,P1-t-octyl S17,302.0,1423.0000001,0.2122276879682201
1327,e7,n19,RockPhos Pd G3 44,P2-t-Bu S18,294.0,1423.0000001,0.20660576245912818
1326,e7,n19,RockPhos Pd G3 44,P2Et 29,223.0,1423.0000001,0.15671117356593736
1299,e7,n19,Xphos Pd G3 36,BEMP 27,455.0,1423.0000001,0.31974701332960315
1298,e7,n19,Xphos Pd G3 36,BTMG 26,670.0,1423.0000001,0.4708362613864486
1300,e7,n19,Xphos Pd G3 36,BTTP 28,1039.0,1423.0000001,0.7301475754933135
1296,e7,n19,Xphos Pd G3 36,DBU 24,222.0,1423.0000001,0.15600843287730087
1297,e7,n19,Xphos Pd G3 36,MTBD 25,1423.0,1423.0000001,0.9999999999297259
1301,e7,n19,Xphos Pd G3 36,P1-t-octyl S17,465.0,1423.0000001,0.32677442021596803
1303,e7,n19,Xphos Pd G3 36,P2-t-Bu S18,626.0,1423.0000001,0.439915671086443
1302,e7,n19,Xphos Pd G3 36,P2Et 29,225.0,1423.0000001,0.15811665494321034
1315,e7,n19,tBuBrettPhos Pd G3 43,BEMP 27,288.0,1423.0000001,0.20238931832730925
1314,e7,n19,tBuBrettPhos Pd G3 43,BTMG 26,302.0,1423.0000001,0.2122276879682201
1316,e7,n19,tBuBrettPhos Pd G3 43,BTTP 28,264.0,1423.0000001,0.18552354180003347
1312,e7,n19,tBuBrettPhos Pd G3 43,DBU 24,237.0,1423.0000001,0.16654954320684823
1313,e7,n19,tBuBrettPhos Pd G3 43,MTBD 25,324.0,1423.0000001,0.2276879831182229
1317,e7,n19,tBuBrettPhos Pd G3 43,P1-t-octyl S17,396.0,1423.0000001,0.2782853127000502
1319,e7,n19,tBuBrettPhos Pd G3 43,P2-t-Bu S18,540.0,1423.0000001,0.37947997186370486
1318,e7,n19,tBuBrettPhos Pd G3 43,P2Et 29,241.0,1423.0000001,0.16936050596139418
1307,e7,n19,tBuXPHOS Pd G3 42,BEMP 27,633.0,1423.0000001,0.4448348559068984
1306,e7,n19,tBuXPHOS Pd G3 42,BTMG 26,811.0,1423.0000001,0.5699226984841937
1308,e7,n19,tBuXPHOS Pd G3 42,BTTP 28,648.0,1423.0000001,0.4553759662364458
1304,e7,n19,tBuXPHOS Pd G3 42,DBU 24,613.0,1423.0000001,0.43078004213416865
1305,e7,n19,tBuXPHOS Pd G3 42,MTBD 25,764.0,1423.0000001,0.5368938861182787
1309,e7,n19,tBuXPHOS Pd G3 42,P1-t-octyl S17,726.0,1423.0000001,0.5101897399500921
1311,e7,n19,tBuXPHOS Pd G3 42,P2-t-Bu S18,396.0,1423.0000001,0.2782853127000502
1310,e7,n19,tBuXPHOS Pd G3 42,P2Et 29,235.0,1423.0000001,0.16514406182957525
1283,e7,n20,AdBrettPhos Pd G3 45,BEMP 27,651.0,1121.0000001,0.5807314896894976
1282,e7,n20,AdBrettPhos Pd G3 45,BTMG 26,727.0,1121.0000001,0.6485280998529412
1284,e7,n20,AdBrettPhos Pd G3 45,BTTP 28,580.0,1121.0000001,0.5173951828262805
1280,e7,n20,AdBrettPhos Pd G3 45,DBU 24,510.0,1121.0000001,0.4549509366231087
1281,e7,n20,AdBrettPhos Pd G3 45,MTBD 25,517.0,1121.0000001,0.4611953612434259
1285,e7,n20,AdBrettPhos Pd G3 45,P1-t-octyl S17,347.0,1121.0000001,0.309545049035723
1287,e7,n20,AdBrettPhos Pd G3 45,P2-t-Bu S18,402.0,1121.0000001,0.3586083853382151
1286,e7,n20,AdBrettPhos Pd G3 45,P2Et 29,331.0,1121.0000001,0.29527207847499803
1291,e7,n20,DTBPF Pd G3 38,BEMP 27,355.0,1121.0000001,0.3166815343160855
1290,e7,n20,DTBPF Pd G3 38,BTMG 26,356.0,1121.0000001,0.3175735949761308
1292,e7,n20,DTBPF Pd G3 38,BTTP 28,383.0,1121.0000001,0.3416592327973542
1288,e7,n20,DTBPF Pd G3 38,DBU 24,379.0,1121.0000001,0.3380909901571729
1289,e7,n20,DTBPF Pd G3 38,MTBD 25,338.0,1121.0000001,0.3015165030953152
1293,e7,n20,DTBPF Pd G3 38,P1-t-octyl S17,337.0,1121.0000001,0.30062444243526987
1295,e7,n20,DTBPF Pd G3 38,P2-t-Bu S18,341.0,1121.0000001,0.3041926850754511
1294,e7,n20,DTBPF Pd G3 38,P2Et 29,333.0,1121.0000001,0.2970561997950886
1275,e7,n20,RockPhos Pd G3 44,BEMP 27,765.0,1121.0000001,0.6824264049346631
1274,e7,n20,RockPhos Pd G3 44,BTMG 26,677.0,1121.0000001,0.6039250668506757
1276,e7,n20,RockPhos Pd G3 44,BTTP 28,533.0,1121.0000001,0.4754683318041509
1272,e7,n20,RockPhos Pd G3 44,DBU 24,1121.0,1121.0000001,0.9999999999107939
1273,e7,n20,RockPhos Pd G3 44,MTBD 25,1026.0,1121.0000001,0.9152542372064894
1277,e7,n20,RockPhos Pd G3 44,P1-t-octyl S17,344.0,1121.0000001,0.3068688670555871
1279,e7,n20,RockPhos Pd G3 44,P2-t-Bu S18,387.0,1121.0000001,0.34522747543753546
1278,e7,n20,RockPhos Pd G3 44,P2Et 29,343.0,1121.0000001,0.30597680639554176
1251,e7,n20,Xphos Pd G3 36,BEMP 27,313.0,1121.0000001,0.2792149865941824
1250,e7,n20,Xphos Pd G3 36,BTMG 26,333.0,1121.0000001,0.2970561997950886
1252,e7,n20,Xphos Pd G3 36,BTTP 28,332.0,1121.0000001,0.2961641391350433
1248,e7,n20,Xphos Pd G3 36,DBU 24,757.0,1121.0000001,0.6752899196543006
1249,e7,n20,Xphos Pd G3 36,MTBD 25,382.0,1121.0000001,0.3407671721373089
1253,e7,n20,Xphos Pd G3 36,P1-t-octyl S17,312.0,1121.0000001,0.2783229259341371
1255,e7,n20,Xphos Pd G3 36,P2-t-Bu S18,349.0,1121.0000001,0.3113291703558136
1254,e7,n20,Xphos Pd G3 36,P2Et 29,323.0,1121.0000001,0.2881355931946355
1267,e7,n20,tBuBrettPhos Pd G3 43,BEMP 27,857.0,1121.0000001,0.7644959856588317
1266,e7,n20,tBuBrettPhos Pd G3 43,BTMG 26,794.0,1121.0000001,0.7082961640759771
1268,e7,n20,tBuBrettPhos Pd G3 43,BTTP 28,353.0,1121.0000001,0.31489741299599483
1264,e7,n20,tBuBrettPhos Pd G3 43,DBU 24,513.0,1121.0000001,0.4576271186032447
1265,e7,n20,tBuBrettPhos Pd G3 43,MTBD 25,551.0,1121.0000001,0.4915254236849665
1269,e7,n20,tBuBrettPhos Pd G3 43,P1-t-octyl S17,453.0,1121.0000001,0.40410347900052596
1271,e7,n20,tBuBrettPhos Pd G3 43,P2-t-Bu S18,383.0,1121.0000001,0.3416592327973542
1270,e7,n20,tBuBrettPhos Pd G3 43,P2Et 29,321.0,1121.0000001,0.2863514718745449
1259,e7,n20,tBuXPHOS Pd G3 42,BEMP 27,448.0,1121.0000001,0.39964317570029945
1258,e7,n20,tBuXPHOS Pd G3 42,BTMG 26,468.0,1121.0000001,0.41748438890120565
1260,e7,n20,tBuXPHOS Pd G3 42,BTTP 28,411.0,1121.0000001,0.3666369312786229
1256,e7,n20,tBuXPHOS Pd G3 42,DBU 24,484.0,1121.0000001,0.4317573594619306
1257,e7,n20,tBuXPHOS Pd G3 42,MTBD 25,391.0,1121.0000001,0.3487957180777167
1261,e7,n20,tBuXPHOS Pd G3 42,P1-t-octyl S17,344.0,1121.0000001,0.3068688670555871
1263,e7,n20,tBuXPHOS Pd G3 42,P2-t-Bu S18,325.0,1121.0000001,0.28991971451472615
1262,e7,n20,tBuXPHOS Pd G3 42,P2Et 29,327.0,1121.0000001,0.29170383583481674
995,e7,n9,AdBrettPhos Pd G3 45,BEMP 27,261.0,1211.0000001,0.2155243600152333
994,e7,n9,AdBrettPhos Pd G3 45,BTMG 26,264.0,1211.0000001,0.21800165150966128
996,e7,n9,AdBrettPhos Pd G3 45,BTTP 28,241.0,1211.0000001,0.19900908338571352
992,e7,n9,AdBrettPhos Pd G3 45,DBU 24,256.0,1211.0000001,0.21139554085785336
993,e7,n9,AdBrettPhos Pd G3 45,MTBD 25,282.0,1211.0000001,0.2328654004762291
997,e7,n9,AdBrettPhos Pd G3 45,P1-t-octyl S17,257.0,1211.0000001,0.21222130468932937
999,e7,n9,AdBrettPhos Pd G3 45,P2-t-Bu S18,247.0,1211.0000001,0.20396366637456947
998,e7,n9,AdBrettPhos Pd G3 45,P2Et 29,228.0,1211.0000001,0.18827415357652566
1003,e7,n9,DTBPF Pd G3 38,BEMP 27,252.0,1211.0000001,0.20809248553194942
1002,e7,n9,DTBPF Pd G3 38,BTMG 26,246.0,1211.0000001,0.20313790254309347
1004,e7,n9,DTBPF Pd G3 38,BTTP 28,259.0,1211.0000001,0.21387283235228133
1000,e7,n9,DTBPF Pd G3 38,DBU 24,249.0,1211.0000001,0.20561519403752143
1001,e7,n9,DTBPF Pd G3 38,MTBD 25,274.0,1211.0000001,0.22625928982442117
1005,e7,n9,DTBPF Pd G3 38,P1-t-octyl S17,242.0,1211.0000001,0.1998348472171895
1007,e7,n9,DTBPF Pd G3 38,P2-t-Bu S18,332.0,1211.0000001,0.2741535920500286
1006,e7,n9,DTBPF Pd G3 38,P2Et 29,256.0,1211.0000001,0.21139554085785336
987,e7,n9,RockPhos Pd G3 44,BEMP 27,244.0,1211.0000001,0.20148637488014148
986,e7,n9,RockPhos Pd G3 44,BTMG 26,262.0,1211.0000001,0.21635012384670932
988,e7,n9,RockPhos Pd G3 44,BTTP 28,248.0,1211.0000001,0.20478943020604545
984,e7,n9,RockPhos Pd G3 44,DBU 24,283.0,1211.0000001,0.2336911643077051
985,e7,n9,RockPhos Pd G3 44,MTBD 25,278.0,1211.0000001,0.22956234515032514
989,e7,n9,RockPhos Pd G3 44,P1-t-octyl S17,265.0,1211.0000001,0.21882741534113728
991,e7,n9,RockPhos Pd G3 44,P2-t-Bu S18,246.0,1211.0000001,0.20313790254309347
990,e7,n9,RockPhos Pd G3 44,P2Et 29,237.0,1211.0000001,0.19570602805980955
963,e7,n9,Xphos Pd G3 36,BEMP 27,300.0,1211.0000001,0.24772914944279692
962,e7,n9,Xphos Pd G3 36,BTMG 26,313.0,1211.0000001,0.2584640792519848
964,e7,n9,Xphos Pd G3 36,BTTP 28,300.0,1211.0000001,0.24772914944279692
960,e7,n9,Xphos Pd G3 36,DBU 24,260.0,1211.0000001,0.21469859618375733
961,e7,n9,Xphos Pd G3 36,MTBD 25,328.0,1211.0000001,0.2708505367241246
965,e7,n9,Xphos Pd G3 36,P1-t-octyl S17,284.0,1211.0000001,0.23451692813918107
967,e7,n9,Xphos Pd G3 36,P2-t-Bu S18,274.0,1211.0000001,0.22625928982442117
966,e7,n9,Xphos Pd G3 36,P2Et 29,241.0,1211.0000001,0.19900908338571352
979,e7,n9,tBuBrettPhos Pd G3 43,BEMP 27,288.0,1211.0000001,0.23781998346508504
978,e7,n9,tBuBrettPhos Pd G3 43,BTMG 26,299.0,1211.0000001,0.2469033856113209
980,e7,n9,tBuBrettPhos Pd G3 43,BTTP 28,307.0,1211.0000001,0.25350949626312885
976,e7,n9,tBuBrettPhos Pd G3 43,DBU 24,278.0,1211.0000001,0.22956234515032514
977,e7,n9,tBuBrettPhos Pd G3 43,MTBD 25,293.0,1211.0000001,0.241948802622465
981,e7,n9,tBuBrettPhos Pd G3 43,P1-t-octyl S17,332.0,1211.0000001,0.2741535920500286
983,e7,n9,tBuBrettPhos Pd G3 43,P2-t-Bu S18,264.0,1211.0000001,0.21800165150966128
982,e7,n9,tBuBrettPhos Pd G3 43,P2Et 29,292.0,1211.0000001,0.241123038790989
971,e7,n9,tBuXPHOS Pd G3 42,BEMP 27,483.0,1211.0000001,0.398843930602903
970,e7,n9,tBuXPHOS Pd G3 42,BTMG 26,1211.0,1211.0000001,0.9999999999174235
972,e7,n9,tBuXPHOS Pd G3 42,BTTP 28,427.0,1211.0000001,0.3526011560402476
968,e7,n9,tBuXPHOS Pd G3 42,DBU 24,331.0,1211.0000001,0.2733278282185526
969,e7,n9,tBuXPHOS Pd G3 42,MTBD 25,549.0,1211.0000001,0.4533443434803184
973,e7,n9,tBuXPHOS Pd G3 42,P1-t-octyl S17,312.0,1211.0000001,0.2576383154205088
975,e7,n9,tBuXPHOS Pd G3 42,P2-t-Bu S18,331.0,1211.0000001,0.2733278282185526
974,e7,n9,tBuXPHOS Pd G3 42,P2Et 29,254.0,1211.0000001,0.20974401319490138
1379,e8,n13,AdBrettPhos Pd G3 45,BEMP 27,338.0,2847.0000001,0.11872146118304457
1378,e8,n13,AdBrettPhos Pd G3 45,BTMG 26,379.0,2847.0000001,0.1331225851727038
1380,e8,n13,AdBrettPhos Pd G3 45,BTTP 28,368.0,2847.0000001,0.1292588689803562
1376,e8,n13,AdBrettPhos Pd G3 45,DBU 24,323.0,2847.0000001,0.11345275728438874
1377,e8,n13,AdBrettPhos Pd G3 45,MTBD 25,346.0,2847.0000001,0.121531436595661
1381,e8,n13,AdBrettPhos Pd G3 45,P1-t-octyl S17,364.0,2847.0000001,0.12785388127404798
1383,e8,n13,AdBrettPhos Pd G3 45,P2-t-Bu S18,450.0,2847.0000001,0.1580611169596747
1382,e8,n13,AdBrettPhos Pd G3 45,P2Et 29,657.0,2847.0000001,0.23076923076112507
1387,e8,n13,DTBPF Pd G3 38,BEMP 27,228.0,2847.0000001,0.08008429925956852
1386,e8,n13,DTBPF Pd G3 38,BTMG 26,233.0,2847.0000001,0.0818405338924538
1388,e8,n13,DTBPF Pd G3 38,BTTP 28,229.0,2847.0000001,0.08043554618614558
1384,e8,n13,DTBPF Pd G3 38,DBU 24,223.0,2847.0000001,0.07832806462668325
1385,e8,n13,DTBPF Pd G3 38,MTBD 25,227.0,2847.0000001,0.07973305233299147
1389,e8,n13,DTBPF Pd G3 38,P1-t-octyl S17,227.0,2847.0000001,0.07973305233299147
1391,e8,n13,DTBPF Pd G3 38,P2-t-Bu S18,225.0,2847.0000001,0.07903055847983735
1390,e8,n13,DTBPF Pd G3 38,P2Et 29,228.0,2847.0000001,0.08008429925956852
