,electrophile,nucleophile,catalyst,base,miser_area_count,max,relative_count
946,e6,n19,AdBrettPhos Pd G3 45,BTMG 26,238.0,465.0000001,0.5118279568791767
948,e6,n19,AdBrettPhos Pd G3 45,BTTP 28,234.0,465.0000001,0.5032258063433923
944,e6,n19,AdBrettPhos Pd G3 45,DBU 24,227.0,465.0000001,0.48817204290576943
945,e6,n19,AdBrettPhos Pd G3 45,MTBD 25,235.0,465.0000001,0.5053763439773384
949,e6,n19,AdBrettPhos Pd G3 45,P1-t-octyl S17,230.0,465.0000001,0.4946236558076078
951,e6,n19,AdBrettPhos Pd G3 45,P2-t-Bu S18,234.0,465.0000001,0.5032258063433923
950,e6,n19,AdBrettPhos Pd G3 45,P2Et 29,223.0,465.0000001,0.47956989236998493
955,e6,n19,DTBPF Pd G3 38,BEMP 27,220.0,465.0000001,0.4731182794681466
954,e6,n19,DTBPF Pd G3 38,BTMG 26,223.0,465.0000001,0.47956989236998493
956,e6,n19,DTBPF Pd G3 38,BTTP 28,223.0,465.0000001,0.47956989236998493
952,e6,n19,DTBPF Pd G3 38,DBU 24,220.0,465.0000001,0.4731182794681466
953,e6,n19,DTBPF Pd G3 38,MTBD 25,219.0,465.0000001,0.4709677418342005
957,e6,n19,DTBPF Pd G3 38,P1-t-octyl S17,220.0,465.0000001,0.4731182794681466
959,e6,n19,DTBPF Pd G3 38,P2-t-Bu S18,225.0,465.0000001,0.4838709676378772
958,e6,n19,DTBPF Pd G3 38,P2Et 29,222.0,465.0000001,0.4774193547360388
939,e6,n19,RockPhos Pd G3 44,BEMP 27,235.0,465.0000001,0.5053763439773384
938,e6,n19,RockPhos Pd G3 44,BTMG 26,248.0,465.0000001,0.533333333218638
940,e6,n19,RockPhos Pd G3 44,BTTP 28,238.0,465.0000001,0.5118279568791767
936,e6,n19,RockPhos Pd G3 44,DBU 24,246.0,465.0000001,0.5290322579507457
937,e6,n19,RockPhos Pd G3 44,MTBD 25,276.0,465.0000001,0.5935483869691294
941,e6,n19,RockPhos Pd G3 44,P1-t-octyl S17,231.0,465.0000001,0.49677419344155394
943,e6,n19,RockPhos Pd G3 44,P2-t-Bu S18,236.0,465.0000001,0.5075268816112846
942,e6,n19,RockPhos Pd G3 44,P2Et 29,279.0,465.0000001,0.5999999998709677
915,e6,n19,Xphos Pd G3 36,BEMP 27,228.0,465.0000001,0.49032258053971556
914,e6,n19,Xphos Pd G3 36,BTMG 26,298.0,465.0000001,0.640860214915944
916,e6,n19,Xphos Pd G3 36,BTTP 28,228.0,465.0000001,0.49032258053971556
912,e6,n19,Xphos Pd G3 36,DBU 24,264.0,465.0000001,0.5677419353617759
913,e6,n19,Xphos Pd G3 36,MTBD 25,465.0,465.0000001,0.9999999997849461
917,e6,n19,Xphos Pd G3 36,P1-t-octyl S17,223.0,465.0000001,0.47956989236998493
919,e6,n19,Xphos Pd G3 36,P2-t-Bu S18,231.0,465.0000001,0.49677419344155394
918,e6,n19,Xphos Pd G3 36,P2Et 29,343.0,465.0000001,0.7376344084435195
931,e6,n19,tBuBrettPhos Pd G3 43,BEMP 27,242.0,465.0000001,0.5204301074149612
930,e6,n19,tBuBrettPhos Pd G3 43,BTMG 26,268.0,465.0000001,0.5763440858975604
932,e6,n19,tBuBrettPhos Pd G3 43,BTTP 28,253.0,465.0000001,0.5440860213883686
928,e6,n19,tBuBrettPhos Pd G3 43,DBU 24,236.0,465.0000001,0.5075268816112846
929,e6,n19,tBuBrettPhos Pd G3 43,MTBD 25,269.0,465.0000001,0.5784946235315065
933,e6,n19,tBuBrettPhos Pd G3 43,P1-t-octyl S17,250.0,465.0000001,0.5376344084865302
935,e6,n19,tBuBrettPhos Pd G3 43,P2-t-Bu S18,351.0,465.0000001,0.7548387095150885
934,e6,n19,tBuBrettPhos Pd G3 43,P2Et 29,251.0,465.0000001,0.5397849461204763
923,e6,n19,tBuXPHOS Pd G3 42,BEMP 27,319.0,465.0000001,0.6860215052288126
922,e6,n19,tBuXPHOS Pd G3 42,BTMG 26,366.0,465.0000001,0.7870967740242802
924,e6,n19,tBuXPHOS Pd G3 42,BTTP 28,287.0,465.0000001,0.6172043009425366
920,e6,n19,tBuXPHOS Pd G3 42,DBU 24,246.0,465.0000001,0.5290322579507457
921,e6,n19,tBuXPHOS Pd G3 42,MTBD 25,284.0,465.0000001,0.6107526880406983
925,e6,n19,tBuXPHOS Pd G3 42,P1-t-octyl S17,270.0,465.0000001,0.5806451611654526
927,e6,n19,tBuXPHOS Pd G3 42,P2-t-Bu S18,294.0,465.0000001,0.6322580643801595
926,e6,n19,tBuXPHOS Pd G3 42,P2Et 29,349.0,465.0000001,0.7505376342471962
