ligand_name,ligand_smiles,electrophile_name,electrophile_id,electrophile_smiles,nucleophile_name,nucleophile_id,nucleophile_smiles,product_smiles,yield
tBPh-CPhos,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,e1,CCOC(=O)c1cc(Br)cn1CC,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,55.12
PPhMe2,CP(C)c1ccccc1,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,e1,CCOC(=O)c1cc(Br)cn1CC,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,3.45
Cy-BippyPhos,c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C2CCCCC2)C2CCCCC2)cc1,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,e1,CCOC(=O)c1cc(Br)cn1CC,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,17.64
PCy3 HBF4,C1(P(C2CCCCC2)C3CCCCC3)CCCCC1,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,e1,CCOC(=O)c1cc(Br)cn1CC,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,5.32
CgMe-PPh,CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,e1,CCOC(=O)c1cc(Br)cn1CC,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,44.43
PPh3,c1ccc(P(c2ccccc2)c2ccccc2)cc1,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,e1,CCOC(=O)c1cc(Br)cn1CC,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,11.41
X-Phos,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,e1,CCOC(=O)c1cc(Br)cn1CC,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,10.67
PnBu3 HBF4,CCCCP(CCCC)CCCC,Ethyl 4-bromo-1-ethylpyrrole-2-carboxylate,e1,CCOC(=O)c1cc(Br)cn1CC,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CCOC(=O)c1cc(-c2cnc(C(C)C)n2C)cn1CC,4.86
A-caPhos,CN(C)c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,86.21
BrettPhos,COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,85.76
CX-FBu,CCCCC1(c2c(c3c1cccc3)cccc2)P(C4CCCCC4)C5CCCCC5,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,63.81
CX-PICy,Cc1cc(C)c(-n2ccnc2P(C2CCCCC2)C2CCCCC2)c(C)c1,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,86.08
Cy-DavePhos,CN(C)c1ccccc1-c1ccccc1P(C1CCCCC1)C1CCCCC1,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,89.01
Cy-vBRIDP,CC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,88.55
