,substrate_id,substrate_smiles,condition,Normalized MALDI Pdt/IS,EIC(+)[M+H] Product Area
226,amine227,[R]\N=C/1\NC2(CCCNC2)C(=O)N1[R],Ir,0.0,0.0
227,amine228,O=C1N[C@@H]2CNCC[C@@H]2N1C3CCCC3,Ir,0.35,1063478.1
228,amine229,CC(C)C1=CC(=O)N2CCNCC2=N1,Ir,0.01,997.9
229,amine230,CN1[C@H]2CCNC[C@H]2N(C1=O)c3ccncc3,Ir,0.72,1116920.0
230,amine231,CCC1=CC(=O)N2CCNCC2=N1,Ir,0.01,11734.0
231,amine232,[R]C1=CC(=O)N2CCNCC2=N1,Ir,0.0,703.2
232,amine233,O=C1C=C(N=C2CNCCN12)c3ccccn3,Ir,0.01,6469.2
233,amine234,[R]C1=CC(=O)N2CCNCC2=N1,Ir,0.02,1593.6
234,amine235,CN1[C@@H]2CNCC[C@@H]2N(C)C1=O,Ir,0.8,2382881.2
235,amine236,[R]OC1=NOC2(CCNCC2)C1,Ir,0.09,671963.9
236,amine237,[R]N1C(=O)OC(C2CCNCC2)c3ccccc13,Ir,0.08,332944.8
237,amine238,[R]NC(=O)C1=NOC2(CCNCC2)C1,Ir,0.75,2336659.9
238,amine239,[R]OC(=O)c1nnn(C2CCNCC2)c1[R],Ir,0.04,1750939.7
239,amine240,[R]\N=C/1\NC([R])C(=O)N1C2CCNCC2,Ir,0.01,1324927.6
240,amine241,[O-][N+](=O)c1ccc(cc1)S(=O)(=O)NC(COc2ccccc2)CN3CCNCC3,Ir,0.0,1275.8
241,amine242,CC(CN1CCNCC1)NS(=O)(=O)c2ccccc2[N+](=O)[O-],Ir,0.01,3876.6
242,amine243,COC1=NO[C@@]2(C)CCNC[C@@H]12,Ir,0.01,82922.4
243,amine244,O=C1OC2(CCC3(CC2)OCCO3)C4CNCCN14,Ir,0.29,1739984.0
244,amine245,COC(=O)[C@@H]1CNC[C@@H](C1)c2cccc(c2)C(F)(F)F,Ir,0.01,592.2
245,amine246,CN1OC[C@@H]2CNCC[C@]12c3ccccc3,Ir,0.19,1939263.9
246,amine247,[R]NC(=O)c1nnn([R])c1C2CCNCC2,Ir,1.07,3145793.2
247,amine248,[R]N([R])C(=O)c1nnn([R])c1C2CCNCC2,Ir,0.57,2305414.2
248,amine249,[R]NC(=O)c1nnn([R])c1C2CCNCC2,Ir,0.5,3151447.7
249,amine250,[R]NC(=O)c1nnn([R])c1C2CCNCC2,Ir,0.87,3117241.1
250,amine251,COC(=O)C1CN(CCN1)c2ccc3ccccc3c2,Ir,0.02,18727.4
251,amine252,FC(F)(C(=O)N1CCNCC1)c2ccccc2,Ir,0.09,1196015.3
252,amine253,[R]Nc1nc2c(O[R])cccc2c3nc(nn13)C4CCCNC4,Ir,1.09,1962409.2
253,amine254,[R]N1C(=O)OC(C2CCNCC2)c3ccccc13,Ir,0.02,168795.5
254,amine255,[R]N1C(=O)CCCC12CCNCC2,Ir,0.1,2477146.8
255,amine256,CN1CC[C@@H]2CNCC[C@H]12,Ir,0.04,4971.3
256,amine257,[R]C(=O)NC1CCN(C)C2(CCNCC2)C1,Ir,0.45,1194068.2
257,amine258,[R]C(=O)NC1CCN(C)C2(CCNCC2)C1,Ir,0.27,648447.8
258,amine259,[R]NC(=O)NC1CCN(C)C2(CCNCC2)C1,Ir,0.19,838876.8
259,amine260,[R]NC(=O)NC1CCN(C)C2(CCNCC2)C1,Ir,0.29,736975.6
260,amine261,[R]S(=O)(=O)NC1CCN(C)C2(CCNCC2)C1,Ir,0.01,1533368.3
261,amine262,C1CN(CCN1)c2ccccc2,Ir,0.33,1921546.7
262,amine263,O=CN1CCNCC1,Ir,0.25,1199441.2
263,amine264,CCOC(=O)N1CCNCC1,Ir,1.03,3512916.3
264,amine265,CN1CCNCC1,Ir,0.24,921553.3
265,amine266,CC(C)NC(=O)CN1CCNCC1,Ir,0.43,2727219.9
266,amine267,C1CSCCN1,Ir,0.21,1159326.1
267,amine268,C1CC2(CCN1)OCCO2,Ir,0.6,2356061.2
268,amine269,CC1CCCCN1,Ir,0.08,0.0
269,amine270,CCN(CC)C(=O)C1CCCNC1,Ir,1.68,3735278.5
270,amine271,CC1CCCNC1,Ir,0.89,4321120.0
271,amine272,OC1CCNCC1,Ir,1.3,3070792.1
272,amine273,CCOC(=O)C1CCNCC1,Ir,0.91,2904477.9
273,amine274,CC1CCNCC1,Ir,0.71,4566644.0
274,amine275,C(C1CCNCC1)c2ccccc2,Ir,0.95,4487704.2
275,amine276,O=C(CN1CCNCC1)N2CCOCC2,Ir,0.26,1554812.5
276,amine277,C1Cc2ccccc2CN1,Ir,1.09,4276876.9
277,amine278,CC1CNCCN1c2ccccc2,Ir,0.17,1803708.9
278,amine279,CN(C)C1CCNCC1,Ir,0.43,1278664.3
279,amine280,Cc1cccc(C)c1N2CCNCC2,Ir,0.03,430428.2
280,amine281,C1CN(CCN1)C(c2ccccc2)c3ccccc3,Ir,0.57,3431215.7
281,amine282,CCOC(=O)CN1CCNCC1,Ir,0.18,1394158.7
282,amine283,C1CCC(CC1)N2CCNCC2,Ir,0.15,744118.6
283,amine284,CC(=O)N1CCNCC1,Ir,0.64,1794849.0
284,amine285,CCN1CCNCC1,Ir,0.25,1501280.1
285,amine286,OC(=O)C1CCCCN1,Ir,0.01,18098.2
286,amine287,CC(C)(C)OC(=O)N1CCNCC1,Ir,1.28,4199818.4
287,amine288,CN1CCC[C@H]1CC2CCCCN2,Ir,0.04,74853.3
288,amine289,CN(C)CCCN1CCNCC1,Ir,0.26,1164893.0
