,electrophile_id,ligand_name,yield
155,s7,P(p-F-Ph)3,57.33
156,s7,PPh2Cy,48.0
157,s7,PPh3,20.02
158,s7,PPhtBu2,6.03
159,s7,PXy3,24.68
160,s7,VPhos,24.68
161,s8,A-paPhos,49.265
162,s8,CX-FBu,50.265
163,s8,CX-PCy,85.59
164,s8,Cy-BippyPhos,84.28999999999999
165,s8,Cy-JohnPhos,88.245
166,s8,Cy-PhenCar-Phos,96.055
167,s8,Cy-vBRIDP,76.685
168,s8,Kwong,84.445
169,s8,MeO-KITPHOS,80.39
170,s8,MePhos,77.735
171,s8,PCy3 HBF4,24.44
172,s8,Ph-DavePhos,71.235
173,s8,Ph-SPhos,58.22
174,s8,Ph-XPhos,46.71
175,s8,PMe3 HBF4,45.260000000000005
176,s8,P(o-Anis)3,73.005
177,s8,P(p-Anis)3,70.03
178,s8,P(p-F-Ph)3,79.765
179,s8,PPh2Cy,90.27
180,s8,PPh3,45.260000000000005
181,s8,PPhtBu2,45.835
182,s8,PXy3,48.44
183,s8,VPhos,38.905
184,s9,A-paPhos,44.52
185,s9,CX-FBu,46.935
186,s9,CX-PCy,70.82
187,s9,Cy-BippyPhos,85.11
188,s9,Cy-JohnPhos,63.645
189,s9,Cy-PhenCar-Phos,75.585
190,s9,Cy-vBRIDP,54.120000000000005
191,s9,Kwong,75.585
192,s9,MeO-KITPHOS,65.99000000000001
193,s9,MePhos,66.06
194,s9,PCy3 HBF4,37.41
195,s9,Ph-DavePhos,61.295
196,s9,Ph-SPhos,61.295
197,s9,Ph-XPhos,39.825
198,s9,PMe3 HBF4,30.3
199,s9,P(o-Anis)3,70.82
200,s9,P(p-Anis)3,54.045
201,s9,P(p-F-Ph)3,70.82
202,s9,PPh2Cy,51.7
203,s9,PPh3,56.535
204,s9,PPhtBu2,25.54
205,s9,PXy3,70.82
206,s9,VPhos,47.005
207,s10,A-paPhos,37.7
208,s10,CX-FBu,29.205
209,s10,CX-PCy,76.875
210,s10,Cy-BippyPhos,71.94
211,s10,Cy-JohnPhos,67.025
212,s10,Cy-PhenCar-Phos,66.35
213,s10,Cy-vBRIDP,49.95
214,s10,Kwong,72.18
215,s10,MeO-KITPHOS,75.99000000000001
216,s10,MePhos,48.24
217,s10,PCy3 HBF4,28.325000000000003
218,s10,Ph-DavePhos,62.74
219,s10,Ph-SPhos,57.045
220,s10,Ph-XPhos,56.535
221,s10,PMe3 HBF4,7.02
222,s10,P(o-Anis)3,11.35
223,s10,P(p-Anis)3,43.75
224,s10,P(p-F-Ph)3,77.24
225,s10,PPh2Cy,61.32
226,s10,PPh3,46.78
227,s10,PPhtBu2,8.085
228,s10,PXy3,18.76
229,s10,VPhos,50.83
230,s11,A-paPhos,43.89
231,s11,CX-FBu,72.4
232,s11,CX-PCy,84.14
233,s11,Cy-BippyPhos,87.49
234,s11,Cy-JohnPhos,86.93
235,s11,Cy-PhenCar-Phos,79.11
236,s11,Cy-vBRIDP,71.28
237,s11,Kwong,89.17
238,s11,MeO-KITPHOS,85.25
239,s11,MePhos,56.19
240,s11,PCy3 HBF4,8.68
241,s11,Ph-DavePhos,75.19
242,s11,Ph-SPhos,90.84
243,s11,Ph-XPhos,22.09
244,s11,PMe3 HBF4,4.76
245,s11,P(o-Anis)3,37.74
246,s11,P(p-Anis)3,91.4
247,s11,P(p-F-Ph)3,53.95
248,s11,PPh2Cy,74.63
249,s11,PPh3,57.31
250,s11,PPhtBu2,3.65
251,s11,PXy3,67.37
252,s11,VPhos,28.8
253,s12,A-paPhos,30.09975
254,s12,CX-FBu,19.85425
255,s12,CX-PCy,58.3715
256,s12,Cy-BippyPhos,48.50775
257,s12,Cy-JohnPhos,58.91125000000001
258,s12,Cy-PhenCar-Phos,58.39175
259,s12,Cy-vBRIDP,43.05175
260,s12,Kwong,36.4115
261,s12,MeO-KITPHOS,16.829250000000002
262,s12,MePhos,43.33725
263,s12,PCy3 HBF4,21.2765
264,s12,Ph-DavePhos,20.75
265,s12,Ph-SPhos,19.62
266,s12,Ph-XPhos,26.09575
267,s12,PMe3 HBF4,27.164
268,s12,P(o-Anis)3,18.4805
269,s12,P(p-Anis)3,31.122
270,s12,P(p-F-Ph)3,37.699250000000006
271,s12,PPh2Cy,39.2995
272,s12,PPh3,29.087
273,s12,PPhtBu2,16.7915
274,s12,PXy3,23.52475
275,s12,VPhos,30.9035
276,s13,A-paPhos,61.91
277,s13,CX-FBu,16.775
278,s13,CX-PCy,54.325
279,s13,Cy-BippyPhos,20.675
280,s13,Cy-JohnPhos,55.48
281,s13,Cy-PhenCar-Phos,16.825000000000003
282,s13,Cy-vBRIDP,25.86
283,s13,Kwong,23.05
284,s13,MeO-KITPHOS,4.84
285,s13,MePhos,30.11
286,s13,PCy3 HBF4,29.795
287,s13,Ph-DavePhos,37.63
288,s13,Ph-SPhos,34.075
289,s13,Ph-XPhos,39.195
290,s13,PMe3 HBF4,16.775
291,s13,P(o-Anis)3,43.93
292,s13,P(p-Anis)3,64.245
293,s13,P(p-F-Ph)3,59.92
294,s13,PPh2Cy,55.91
295,s13,PPh3,47.53
296,s13,PPhtBu2,13.88
297,s13,PXy3,50.27
298,s13,VPhos,20.29
299,s14,A-paPhos,76.57
300,s14,CX-FBu,56.89
301,s14,CX-PCy,74.99000000000001
302,s14,Cy-BippyPhos,68.71000000000001
303,s14,Cy-JohnPhos,68.37
304,s14,Cy-PhenCar-Phos,68.195
305,s14,Cy-vBRIDP,54.975
306,s14,Kwong,71.16
307,s14,MeO-KITPHOS,69.065
308,s14,MePhos,52.015
309,s14,PCy3 HBF4,50.275
310,s14,Ph-DavePhos,65.75999999999999
311,s14,Ph-SPhos,62.615
312,s14,Ph-XPhos,47.3
313,s14,PMe3 HBF4,47.3
314,s14,P(o-Anis)3,71.155
315,s14,P(p-Anis)3,77.59
316,s14,P(p-F-Ph)3,80.735
317,s14,PPh2Cy,77.265
318,s14,PPh3,76.53
319,s14,PPhtBu2,15.435
320,s14,PXy3,71.68
321,s14,VPhos,50.095
322,s15,A-paPhos,71.12
323,s15,CX-FBu,41.87
324,s15,CX-PCy,43.11
325,s15,Cy-BippyPhos,14.48
326,s15,Cy-JohnPhos,44.36
327,s15,Cy-PhenCar-Phos,19.46
328,s15,Cy-vBRIDP,49.34
329,s15,Kwong,21.95
330,s15,MeO-KITPHOS,39.38
331,s15,MePhos,35.64
332,s15,PCy3 HBF4,57.43
333,s15,Ph-DavePhos,39.38
334,s15,Ph-SPhos,26.31
335,s15,Ph-XPhos,14.48
336,s15,PMe3 HBF4,12.61
337,s15,P(o-Anis)3,33.78
338,s15,P(p-Anis)3,68.01
339,s15,P(p-F-Ph)3,64.9
340,s15,PPh2Cy,73.61
341,s15,PPh3,66.77
342,s15,PPhtBu2,12.61
343,s15,PXy3,69.26
344,s15,VPhos,15.72
345,s16,Cy-JohnPhos,75.09
346,s16,Ph-SPhos,65.68
347,s16,Cy-BippyPhos,54.02
348,s16,MeO-KITPHOS,63.26
349,s16,MePhos,70.44
350,s16,Kwong,70.79
351,s16,Cy-PhenCar-Phos,67.65
352,s16,Ph-XPhos,61.24
353,s16,VPhos,52.82
354,s16,Ph-DavePhos,65.36
355,s16,PPhtBu2,64.77
356,s16,P(p-Anis)3,94.2
357,s16,A-paPhos,100.0
358,s16,PXy3,97.33
359,s16,PMe3 HBF4,84.3
360,s16,CX-PCy,75.48
361,s16,CX-FBu,62.21
362,s16,PPh2Cy,89.14
363,s16,P(p-F-Ph)3,85.58
364,s16,PCy3 HBF4,37.68
365,s16,Cy-vBRIDP,80.62
366,s16,P(o-Anis)3,59.29
367,s16,PPh3,98.16
368,s17,Cy-JohnPhos,70.15056675
369,s17,Ph-SPhos,73.77372047
370,s17,Cy-BippyPhos,73.74786285
371,s17,MeO-KITPHOS,40.39414747
372,s17,MePhos,83.59490584
373,s17,Kwong,59.45267573
374,s17,Cy-PhenCar-Phos,55.57791165
375,s17,Ph-XPhos,74.88674145
376,s17,VPhos,35.91094738
377,s17,Ph-DavePhos,56.10183415
378,s17,PPhtBu2,86.23596615
379,s17,P(p-Anis)3,81.79263245
380,s17,A-paPhos,60.04147509
381,s17,PXy3,79.29996786
382,s17,PMe3 HBF4,52.05447939
383,s17,CX-PCy,51.8748862
384,s17,CX-FBu,70.24439311
385,s17,PPh2Cy,70.91678621
386,s17,P(p-F-Ph)3,70.0507933
387,s17,PCy3 HBF4,73.9343147
388,s17,Cy-vBRIDP,97.18242493
389,s17,P(o-Anis)3,57.053249
390,s17,PPh3,94.45233444
391,s18,Cy-JohnPhos,93.47
392,s18,Ph-SPhos,39.17
393,s18,Cy-BippyPhos,93.32
394,s18,MeO-KITPHOS,80.71
395,s18,MePhos,52.52
396,s18,Kwong,52.08
