,substrate_id,substrate_smiles,condition,Normalized MALDI Pdt/IS,EIC(+)[M+H] Product Area
83,bromide84,FC(F)(F)c1ccc2nc(Br)ccc2c1,Cu,0.5,3009604.4
84,bromide85,Brc1cccc(CNC(=O)c2ocnc2)n1,Cu,0.72,3710366.9
85,bromide86,Brc1cnc(On2nnc3ccccc23)nc1,Cu,0.01,411.1
86,bromide87,COC(=O)c1cn(Cc2cccc(Br)n2)nn1,Cu,0.25,3777657.8
87,bromide88,COC(=O)C(C)(C)CCOc1ccc(Br)nc1,Cu,0.69,4571213.6
88,bromide89,CSCCNC(=O)c1cc(Br)cn1C(C)C,Cu,0.2,2323002.4
89,bromide90,Cc1cc(Br)nc(Nc2cc(ccn2)C(F)(F)F)c1,Cu,1.22,5394711.4
90,bromide91,CC(C)(C)OC(=O)N1CCN(CC1)c2ccc(Br)cn2,Cu,0.3,2420764.7
91,bromide92,CC(C)(C)OC(=O)N1CCN(CC1)c2cncc(Br)c2,Cu,0.84,3023884.2
92,bromide93,Brc1cn(Cc2ccc(OCc3ccccc3)nc2)cn1,Cu,0.01,36505.0
93,bromide94,CC(=O)N1CCN(CC1)C2CCc3nc(Br)sc3C2,Cu,0.49,3475819.4
94,bromide95,COc1ccc(Nc2nc(Br)cn3ccnc23)cc1OC,Cu,0.13,135314.5
95,bromide96,CCOC(=O)[C@H]1CC[C@@H](C[C@H]1C)C(C)(O)c2ccc(Br)cn2,Cu,0.27,4465681.5
96,bromide97,COC(=O)C1Cc2ncc(Br)cc2N(Cc3ccccc3)C1=O,Cu,0.36,2053989.4
97,bromide98,CC(C)OC(=O)[C@@H]1[C@H](C)C[C@](O)(C[C@@H]1C)c2ncc(Br)s2,Cu,0.01,87457.8
98,bromide99,Cc1cc(Br)nc(c1)N(c2cc(ccn2)C(F)(F)F)S(=O)(=O)C,Cu,0.13,2368542.2
99,bromide100,Cc1cc(Br)nc(c1)N(C(=O)C(C)(C)C)c2cc(ccn2)C(F)(F)F,Cu,0.14,2913013.0
100,bromide101,CCOC(=O)N1[C@H](CC)C[C@H](Nc2ncc(Br)cn2)c3cc(ccc13)C(F)(F)F,Cu,0.01,1629518.5
101,bromide102,Brc1ccc2NCCc2c1,Cu,0.02,63778.0
102,bromide103,Brc1ccc2[nH]ccc2c1,Cu,0.54,3775345.4
103,bromide104,Brc1ccc2cc[nH]c2c1,Cu,0.44,3949852.1
104,bromide105,Brc1cccc2[nH]ccc12,Cu,0.41,4212231.7
105,bromide106,Brc1cccc2cc[nH]c12,Cu,0.22,3488813.1
106,bromide107,Brc1ccc2ccoc2c1,Cu,0.29,6303578.5
107,bromide108,Brc1ccc2occc2c1,Cu,0.23,4586988.3
108,bromide109,Brc1cccc2ccoc12,Cu,0.13,3351891.7
109,bromide110,Brc1ccc2[nH]ncc2c1,Cu,0.03,217619.1
110,bromide111,Brc1cccc2[nH]ncc12,Cu,0.32,1919363.9
111,bromide112,Brc1ccc2cnoc2c1,Cu,0.05,725150.3
112,bromide113,Brc1ccc2ncoc2c1,Cu,0.01,121490.4
113,bromide114,Brc1ccc2ocnc2c1,Cu,0.01,1100307.5
114,bromide115,Brc1ccc2[nH]nnc2c1,Cu,0.01,10080.7
115,bromide116,Brc1ccc2nonc2c1,Cu,0.1,1147503.9
116,bromide117,Brc1ccc2OCCc2c1,Cu,0.1,2867782.3
117,bromide118,Brc1ccc2ccncc2c1,Cu,1.85,6063507.1
118,bromide119,Brc1cccc2cccnc12,Cu,1.01,5004515.9
119,bromide120,Brc1cccc2cnccc12,Cu,0.86,4430307.1
120,bromide121,Brc1cccc2ncccc12,Cu,0.92,4802879.1
121,bromide122,Brc1ccc2cnccc2c1,Cu,2.78,6475996.6
122,bromide123,Brc1ccc2ncccc2c1,Cu,1.07,5323645.4
123,bromide124,Brc1cccc2ccncc12,Cu,0.69,3719528.9
124,bromide125,Brc1ccc2nccnc2c1,Cu,1.24,4867717.0
125,bromide126,Cn1ccc2cc(Br)ccc12,Cu,0.72,4324225.1
126,bromide127,Cc1nc2cc(Br)ccc2[nH]1,Cu,0.05,96417.6
127,bromide128,Cc1noc2cc(Br)ccc12,Cu,0.16,3441956.8
128,bromide129,Cn1nnc2ccc(Br)cc12,Cu,0.66,3128989.6
129,bromide130,Brc1ccc2sccc2c1,Cu,0.15,3870602.9
130,bromide131,Oc1noc2cc(Br)ccc12,Cu,0.0,113387.6
131,bromide132,Brc1ccc2NC(=O)Oc2c1,Cu,0.02,821676.6
132,bromide133,Brc1ccc2ncsc2c1,Cu,0.22,2879127.8
133,bromide134,Brc1ccc(cc1)c2cc[nH]n2,Cu,0.08,429055.3
134,bromide135,Brc1ccccc1n2cccn2,Cu,0.86,4407543.6
135,bromide136,Brc1ccc(cc1)c2ccon2,Cu,0.17,2942082.2
136,bromide137,Brc1ccc(cc1)c2ocnc2,Cu,0.61,3979217.7
137,bromide138,Brc1cccc2CCC(=O)Nc12,Cu,0.27,2433458.1
138,bromide139,Brc1ccc2NC(=O)OCc2c1,Cu,0.32,2657676.4
