,electrophile_id,ligand_name,yield
154,s7,P(p-Anis)3,57.33
155,s7,P(p-F-Ph)3,48.0
156,s7,PPh2Cy,48.0
157,s7,PPh3,1.37
158,s7,PPhtBu2,6.03
159,s7,PXy3,20.02
160,s7,VPhos,6.03
161,s8,A-paPhos,64.0
162,s8,CX-FBu,37.555
163,s8,CX-PCy,95.43
164,s8,Cy-BippyPhos,98.505
165,s8,Cy-JohnPhos,85.59
166,s8,Cy-PhenCar-Phos,73.35499999999999
167,s8,Cy-vBRIDP,82.315
168,s8,Kwong,73.58
169,s8,MeO-KITPHOS,93.5
170,s8,MePhos,78.515
171,s8,PCy3 HBF4,29.07
172,s8,Ph-DavePhos,78.31
173,s8,Ph-SPhos,73.685
174,s8,Ph-XPhos,65.605
175,s8,PMe3 HBF4,41.46
176,s8,P(o-Anis)3,67.275
177,s8,P(p-Anis)3,90.12
178,s8,P(p-F-Ph)3,81.69
179,s8,PPh2Cy,92.25
180,s8,PPh3,79.66499999999999
181,s8,PPhtBu2,40.78
182,s8,PXy3,84.86500000000001
183,s8,VPhos,64.725
184,s9,A-paPhos,54.120000000000005
185,s9,CX-FBu,51.77
186,s9,CX-PCy,70.82
187,s9,Cy-BippyPhos,73.16999999999999
188,s9,Cy-JohnPhos,66.06
189,s9,Cy-PhenCar-Phos,68.405
190,s9,Cy-vBRIDP,56.465
191,s9,Kwong,61.295
192,s9,MeO-KITPHOS,66.06
193,s9,MePhos,49.35
194,s9,PCy3 HBF4,49.35
195,s9,Ph-DavePhos,66.06
196,s9,Ph-SPhos,63.645
197,s9,Ph-XPhos,44.59
198,s9,PMe3 HBF4,23.125
199,s9,P(o-Anis)3,80.28
200,s9,P(p-Anis)3,54.120000000000005
201,s9,P(p-F-Ph)3,89.805
202,s9,PPh2Cy,56.465
203,s9,PPh3,87.46000000000001
204,s9,PPhtBu2,25.54
205,s9,PXy3,77.935
206,s9,VPhos,35.065
207,s10,A-paPhos,31.885
208,s10,CX-FBu,25.995
209,s10,CX-PCy,67.46000000000001
210,s10,Cy-BippyPhos,51.485
211,s10,Cy-JohnPhos,69.02
212,s10,Cy-PhenCar-Phos,55.86
213,s10,Cy-vBRIDP,50.98
214,s10,Kwong,50.24
215,s10,MeO-KITPHOS,61.355
216,s10,MePhos,46.805
217,s10,PCy3 HBF4,18.79
218,s10,Ph-DavePhos,46.775
219,s10,Ph-SPhos,46.785
220,s10,Ph-XPhos,46.645
221,s10,PMe3 HBF4,9.21
222,s10,P(o-Anis)3,11.95
223,s10,P(p-Anis)3,34.075
224,s10,P(p-F-Ph)3,62.165
225,s10,PPh2Cy,64.315
226,s10,PPh3,40.735
227,s10,PPhtBu2,10.525
228,s10,PXy3,23.56
229,s10,VPhos,55.465
230,s11,A-paPhos,94.76
231,s11,CX-FBu,24.33
232,s11,CX-PCy,51.16
233,s11,Cy-BippyPhos,69.6
234,s11,Cy-JohnPhos,90.84
235,s11,Cy-PhenCar-Phos,80.78
236,s11,Cy-vBRIDP,78.55
237,s11,Kwong,71.84
238,s11,MeO-KITPHOS,74.63
239,s11,MePhos,67.93
240,s11,PCy3 HBF4,3.09
241,s11,Ph-DavePhos,45.01
242,s11,Ph-SPhos,77.43
243,s11,Ph-XPhos,9.79
244,s11,PMe3 HBF4,2.53
245,s11,P(o-Anis)3,22.09
246,s11,P(p-Anis)3,93.64
247,s11,P(p-F-Ph)3,95.32
248,s11,PPh2Cy,46.13
249,s11,PPh3,79.11
250,s11,PPhtBu2,2.53
251,s11,PXy3,4.2
252,s11,VPhos,34.39
253,s12,A-paPhos,38.344
254,s12,CX-FBu,26.78075
255,s12,CX-PCy,70.2225
256,s12,Cy-BippyPhos,68.65525
257,s12,Cy-JohnPhos,77.795
258,s12,Cy-PhenCar-Phos,66.34450000000001
259,s12,Cy-vBRIDP,50.88175000000001
260,s12,Kwong,40.98675
261,s12,MeO-KITPHOS,64.187
262,s12,MePhos,58.371
263,s12,PCy3 HBF4,16.635
264,s12,Ph-DavePhos,27.18025
265,s12,Ph-SPhos,38.68225
266,s12,Ph-XPhos,31.39925
267,s12,PMe3 HBF4,21.297
268,s12,P(o-Anis)3,28.58075
269,s12,P(p-Anis)3,38.1865
270,s12,P(p-F-Ph)3,48.2995
271,s12,PPh2Cy,56.51350000000001
272,s12,PPh3,43.225750000000005
273,s12,PPhtBu2,11.22175
274,s12,PXy3,42.93
275,s12,VPhos,50.154
276,s13,A-paPhos,38.38
277,s13,CX-FBu,19.02
278,s13,CX-PCy,37.61
279,s13,Cy-BippyPhos,11.91
280,s13,Cy-JohnPhos,34.55
281,s13,Cy-PhenCar-Phos,30.835
282,s13,Cy-vBRIDP,24.14
283,s13,Kwong,18.635
284,s13,MeO-KITPHOS,30.065
285,s13,MePhos,30.880000000000003
286,s13,PCy3 HBF4,17.07
287,s13,Ph-DavePhos,25.31
288,s13,Ph-SPhos,24.545
289,s13,Ph-XPhos,27.28
290,s13,PMe3 HBF4,13.495
291,s13,P(o-Anis)3,14.285
292,s13,P(p-Anis)3,36.16
293,s13,P(p-F-Ph)3,43.61
294,s13,PPh2Cy,29.32
295,s13,PPh3,43.995000000000005
296,s13,PPhtBu2,13.45
297,s13,PXy3,29.705
298,s13,VPhos,20.605
299,s14,A-paPhos,77.09
300,s14,CX-FBu,57.745000000000005
301,s14,CX-PCy,75.16
302,s14,Cy-BippyPhos,68.2
303,s14,Cy-JohnPhos,74.3
304,s14,Cy-PhenCar-Phos,64.56
305,s14,Cy-vBRIDP,65.94
306,s14,Kwong,61.77
307,s14,MeO-KITPHOS,44.525000000000006
308,s14,MePhos,59.32
309,s14,PCy3 HBF4,51.98
310,s14,Ph-DavePhos,74.31
311,s14,Ph-SPhos,58.62
312,s14,Ph-XPhos,50.620000000000005
313,s14,PMe3 HBF4,14.39
314,s14,P(o-Anis)3,76.04
315,s14,P(p-Anis)3,75.175
316,s14,P(p-F-Ph)3,79.88499999999999
317,s14,PPh2Cy,78.13499999999999
318,s14,PPh3,79.51
319,s14,PPhtBu2,14.739999999999998
320,s14,PXy3,78.66
321,s14,VPhos,49.045
322,s15,A-paPhos,68.63
323,s15,CX-FBu,44.98
324,s15,CX-PCy,50.58
325,s15,Cy-BippyPhos,22.57
326,s15,Cy-JohnPhos,51.2
327,s15,Cy-PhenCar-Phos,27.55
328,s15,Cy-vBRIDP,59.3
329,s15,Kwong,26.31
330,s15,MeO-KITPHOS,48.72
331,s15,MePhos,43.74
332,s15,PCy3 HBF4,52.45
