ligand,id,can_smiles,smiles,formula,mw,atomcount,merckid,cas_pr3,cas_pr3_hx,cas_conj_acid,SIGMA STRUCTURE_ID,SIGMA CAT_NO,Fey-LKB (Paper)
PMenth2Bn,624.0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1P(Cc1ccccc1)[C@@H]1C[C@H](C)CC[C@H]1C(C)C,C[C@@H]1CC[C@@H](C(C)C)[C@H](P([C@H]2[C@H](C(C)C)CC[C@@H](C)C2)Cc3ccccc3)C1,C27H45P,401.0,73.0,,"93634-89-0 (1a(1R*,2S*,5R*),2b,5a)",,,,,
P(NiPr2)3,625.0,CC(C)N(C(C)C)P(N(C(C)C)C(C)C)N(C(C)C)C(C)C,CC(C)N(C(C)C)P(N(C(C)C)C(C)C)N(C(C)C)C(C)C,C18H42N3P,332.0,64.0,,59758-27-9,,,,,LKB293
PMenth2Me,626.0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1P(C)[C@@H]1C[C@H](C)CC[C@H]1C(C)C,C[C@@H]1CC[C@@H](C(C)C)[C@H](P([C@H]2[C@H](C(C)C)CC[C@@H](C)C2)C)C1,C21H41P,325.0,63.0,,"36370-21-5 (1R-(1a(1R*,2S*,5R*),2b,5a)), 39750-79-3 (no stereo), 93713-93-0 (1a(1R*,2S*,5R*),2b,5a)",,,,,
PMenth2Neopent,627.0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1P(CC(C)(C)C)[C@@H]1C[C@H](C)CC[C@H]1C(C)C,C[C@@H]1CC[C@@H](C(C)C)[C@H](P([C@H]2[C@H](C(C)C)CC[C@@H](C)C2)CC(C)(C)C)C1,C25H49P,381.0,75.0,,93634-88-9,,,,,
PMenth2CH2Cy,628.0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1P(CC1CCCCC1)[C@@H]1C[C@H](C)CC[C@H]1C(C)C,C[C@@H]1CC[C@@H](C(C)C)[C@H](P([C@H]2[C@H](C(C)C)CC[C@@H](C)C2)CC3CCCCC3)C1,C27H51P,407.0,79.0,,93634-86-7,,,,,
PMenth2iPr,629.0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1P(C(C)C)[C@@H]1C[C@H](C)CC[C@H]1C(C)C,C[C@@H]1CC[C@@H](C(C)C)[C@H](P([C@H]2[C@H](C(C)C)CC[C@@H](C)C2)C(C)C)C1,C23H45P,353.0,69.0,,"39750-78-2 (no stereo), 93713-92-9 (1a(1R*,2S*,5R*),2b,5a)",,,,,
PMenth2Cy,630.0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1P(C1CCCCC1)[C@@H]1C[C@H](C)CC[C@H]1C(C)C,C[C@@H]1CC[C@@H](C(C)C)[C@H](P([C@H]2[C@H](C(C)C)CC[C@@H](C)C2)C3CCCCC3)C1,C26H49P,393.0,76.0,,"61142-16-3 (no stereo),93713-91-8 (1a(1R*,2S*,5R*)2b,5a)",,,,,
PMenth2tBu,631.0,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1P([C@@H]1C[C@H](C)CC[C@H]1C(C)C)C(C)(C)C,C[C@@H]1CC[C@@H](C(C)C)[C@H](P([C@H]2[C@H](C(C)C)CC[C@@H](C)C2)C(C)(C)C)C1,C24H47P,367.0,72.0,,"93634-85-6 (1a(1R*,2S*,5R*),2b,5a)",,,,,
P(CH2OTMS)2(CH2Fc),632.0,C[Si](C)(C)OCP(CO[Si](C)(C)C)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28,C[Si](C)(OCP(CC12C3C4C5C1[Fe]43526789C%10C6C7C8C%109)CO[Si](C)(C)C)C,C19H33FeO2PSi2,436.0,58.0,,1774286-74-8,,,,,
RPhos,633.0,CC(P(C12C3[Ru]4567892(C1C5C34)C1([C]8(=[C]7([C]26=[C]91c1ccccc1c1c2cccc1)c1ccccc1)c1ccccc1)c1ccccc1)C(C)(C)C)(C)C,CC(C)(C)P(C12C3C4C5C1[Ru]43526789C%10(C%11=CC=CC=C%11)C6%12=C7(C8(C%13=CC=CC=C%13)=C%109C%14=CC=CC=C%14)C%15=C(C%16=C%12C=CC=C%16)C=CC=C%15)C(C)(C)C,C48H45PRu,754.0,95.0,,1026057-49-7,,,,,
P(CH2CH2Ruthenocene)3,634.0,C(CC12C3C4C5C1[Ru]45321678C2C1C6C7C28)P(CCC12C3C4C5C1[Ru]45321678C2C1C6C7C28)CC[C@]12C3C4C5[C@H]1[Ru]45321678C2C1C6C7C28,C12C3C4C5C1(CCP(CCC67C8C9C%10C6[Ru]79%108%11%12%13%14C%15C%11C%12C%13C%15%14)CC[C@@]%16%17[C@H]%18C%19C%20C%16[Ru]%17%19%20%18%21%22%23%24C%25C%21C%22C%23C%25%24)[Ru]4352%26%27%28%29C%30C%26C%27C%28C%30%29,C36H39PRu3,806.0,79.0,,1807462-94-7,,,,,
P(CH2CH2Fc)3,635.0,C(CC12C3C4C5C1[Fe]45321678C2C1C6C7C28)P(CCC12C3C4C5C1[Fe]45321678C2C1C6C7C28)CCC12C3C4C5C1[Fe]45321678C2C1C6C7C28,C12C3C4C5C1([Fe]43526789C%10C6C7C8C%109)CCP(CCC%11%12C%13C%14C%15C%11[Fe]%12%14%15%13%16%17%18%19C%20C%16C%17C%18C%20%19)CCC%21%22C%23C%24C%25C%21[Fe]%22%24%25%23%26%27%28%29C%30C%26C%27C%28C%30%29,C36H39Fe3P,670.0,79.0,,1622012-64-9,,,,,
P(CH2Fc)3,636.0,C(P(CC12C3C4C5C1[Fe]45321678C2C1C6C7C28)CC12C3C4C5C1[Fe]45321678C2C1C6C7C28)C12C3C4C5C1[Fe]45321678C2C1C6C7C28,C12C3C4C5C1([Fe]43526789C%10C6C7C8C%109)CP(CC%11%12C%13C%14C%15C%11[Fe]%12%14%15%13%16%17%18%19C%20C%16C%17C%18C%20%19)CC%21%22C%23C%24C%25C%21[Fe]%22%24%25%23%26%27%28%29C%30C%26C%27C%28C%30%29,C33H33Fe3P,628.0,70.0,,1015486-80-2,"1174286-77-1 (HBF4), 1015486-95-9 (HI)",,,,
P(TMS)2(CH2Fc),637.0,C[Si](C)(C)P(CC12C3C4C5C1[Fe]45321678C2C1C6C7C28)[Si](C)(C)C,C[Si](C)(C)P(CC12C3C4C5C1[Fe]43526789C%10C6C7C8C%109)[Si](C)(C)C,C17H29FePSi2,376.0,50.0,,1774286-73-7,,,,,
"2,2’-methylene-bis(4-methyl-6-tert-butylphenyl)phenylphosphite",638.0,Cc1cc2c(c(C(C)(C)C)c1)OP(Oc1ccccc1)Oc1c(cc(C)cc1C(C)(C)C)C2,P2(Oc3c(cc(cc3C(C)(C)C)C)Cc4c(c(cc(c4)C)C(C)(C)C)O2)Oc1ccccc1,C29H35O3P,463.0,68.0,,34573-99-4,,,27293384,,
POEt_NPh_Oxazaphospholinide,639.0,CCOP1OCCN1c1ccccc1,P1(N(CCO1)c2ccccc2)OCC,C10H14NO2P,211.0,28.0,,5679-72-1,,,27470400,,
