ligand,id,can_smiles,smiles,formula,mw,atomcount,merckid,cas_pr3,cas_pr3_hx,cas_conj_acid,SIGMA STRUCTURE_ID,SIGMA CAT_NO,Fey-LKB (Paper)
Xphos,1.0,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,CC(c1cc(cc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)C(C)C)C(C)C)C,C33H49P,477.0,83.0,ME025,564483-18-7,1353896-96-4 (HBHR3),,"101382207, 423865257",,LKB180
CPhos,2.0,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,CN(c1cccc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)N(C)C)C,C28H41N2P,437.0,72.0,ME011,1160556-64-8,,,370210525,,LKB172
SPhos,3.0,COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,COc1cccc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)OC,C26H35O2P,411.0,64.0,ME026,"657408-07-6, 1356823-31-8 (1S)",,,101379083,638072,LKB168
RuPhos,4.0,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,CC(Oc1cccc(c1c1ccccc1P(C1CCCCC1)C1CCCCC1)OC(C)C)C,C30H43O2P,467.0,76.0,ME030,787618-22-8,,,117278787,,LKB175
CyJohnPhos,5.0,c1ccc(-c2ccccc2P(C2CCCCC2)C2CCCCC2)cc1,C1CCC(CC1)P(c1ccccc1c1ccccc1)C1CCCCC1,C24H31P,350.0,56.0,ME004,247940-06-3,1174762-77-6 (HBF4),,28849539,,LKB164
PAd3,6.0,C1C2CC3CC1CC(C2)(C3)P(C12CC3CC(C2)CC(C1)C3)C12CC3CC(C2)CC(C1)C3,C1[C@@H]2C[C@@H]3C[C@H]1C[C@](C2)(C3)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3,C30H45P,437.0,76.0,ME082,897665-73-5,,,573215524,,
PhSPhos,7.0,COc1cccc(OC)c1-c1ccccc1P(c1ccccc1)c1ccccc1,COc1cccc(c1c1ccccc1P(c1ccccc1)c1ccccc1)OC,C26H23O2P,398.0,52.0,,819867-24-8,,,370706643,,
PtBu3,8.0,CC(C)(C)P(C(C)(C)C)C(C)(C)C,CC(P(C(C)(C)C)C(C)(C)C)(C)C,C12H27P,202.0,40.0,,13716-12-6,"many, 131274-22-1 (HBF4)",19287-82-2,"28788212, 306935261",,LKB16
PoTol3,9.0,Cc1ccccc1P(c1ccccc1C)c1ccccc1C,Cc1ccccc1P(c1ccccc1C)c1ccccc1C,C21H21P,304.0,43.0,ME110,6163-58-2,"many, 1255640-57-3 (HBF4)",61249-04-5,28423706,,LKB72
"PAd2nBu, CataCXium A",10.0,CCCCP(C12CC3CC(C2)CC(C1)C3)C12CC3CC(C2)CC(C1)C3,CCCCP([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)[C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3,C24H39P,359.0,64.0,ME080,321921-71-5,"1239332-30-9 (HBF4), 714951-87-8 (HI)",,"128895196, 148901854, 388192492, 939889225",,LKB54
PCy3,11.0,C1CCC(P(C2CCCCC2)C2CCCCC2)CC1,C1CCC(CC1)P(C1CCCCC1)C1CCCCC1,C18H33P,280.0,52.0,ME062,2622-14-2,"many, 58656-04-5 (HBF4)",19287-85-5,"28778005, 315422159",,LKB021
PtBu2neopentyl,12.0,CC(C)(C)CP(C(C)(C)C)C(C)(C)C,CC(CP(C(C)(C)C)C(C)(C)C)(C)C,C13H29P,216.0,43.0,ME071,60633-21-8,886059-84-3 (HBF4),,70288698,,LKB42
PtBuPh2,13.0,CC(C)(C)P(c1ccccc1)c1ccccc1,CC(P(c1ccccc1)c1ccccc1)(C)C,C16H19P,242.0,36.0,ME091,6002-34-2,"67284-12-2 (fluorosulfuric acid), 2302013-44-9 (HBHR3)",367252-37-7,28804018,,LKB102
PtBu2Me,14.0,CP(C(C)(C)C)C(C)(C)C,CP(C(C)(C)C)C(C)(C)C,C9H21P,160.0,31.0,ME069,6002-40-0,"many, 479094-62-7 (HBF4)",198148-81-1,28834349,,LKB40
P(2OMePh)3,15.0,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,C21H21O3P,352.0,46.0,ME117,4731-65-1,"1255640-56-2 (HBF4), 173950-83-9 (methanesulfonic acid), 224304-98-7 (HCl)",61249-01-2,28461677,710563,LKB75
P(4CF3Ph)3,16.0,FC(F)(F)c1ccc(P(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)cc1,FC(c1ccc(cc1)P(c1ccc(cc1)C(F)(F)F)c1ccc(cc1)C(F)(F)F)(F)F,C21H12F9P,466.0,43.0,ME124,13406-29-6,2147749-68-4 (HBF4),,28791373,,LKB79
PPh3,17.0,c1ccc(P(c2ccccc2)c2ccccc2)cc1,c1ccc(cc1)P(c1ccccc1)c1ccccc1,C18H15P,262.0,34.0,ME108,603-35-0,"many, 12095-42-0 (HBF4)",19287-86-6,"28756661, 28932706, 30478631",,LKB63
PpTol3,18.0,Cc1ccc(P(c2ccc(C)cc2)c2ccc(C)cc2)cc1,Cc1ccc(cc1)P(c1ccc(cc1)C)c1ccc(cc1)C,C21H21P,304.0,43.0,,1038-95-5,"many, 131274-21-0 (HBF4)",61249-11-4,28423713,,LKB74
PBnPh2,19.0,c1ccc(CP(c2ccccc2)c2ccccc2)cc1,c1ccc(cc1)CP(c1ccccc1)c1ccccc1,C19H17P,276.0,37.0,ME092,7650-91-1,"102626-88-0 (HBF4), 110532-52-0 (HBr)",63832-86-0,28802192,,LKB104
PnBu3,20.0,CCCCP(CCCC)CCCC,CCCCP(CCCC)CCCC,C12H27P,202.0,40.0,ME055,998-40-3,"many, 113978-91-9 (HBF4)",19287-83-3,28150938,,LKB013
PEt3,21.0,CCP(CC)CC,CCP(CC)CC,C6H15P,118.0,22.0,ME051,554-70-1,"many, 817575-08-9 (HBF4)",19287-80-0,28783858,"245275, 346179",LKB005
PMe3,22.0,CP(C)C,CP(C)C,C3H9P,76.0,13.0,ME050,594-09-2,"many, 154358-50-6 (HBF4)",19287-79-7,28782458,,LKB002
2-C5 monoXantphos,23.0,CC1(C)c2ccccc2Oc2c(P(c3ccccc3)c3ccccc3)cccc21,CC1(C)c2cccc(c2Oc2c1cccc2)P(c1ccccc1)c1ccccc1,C27H23OP,394.0,52.0,,1333321-80-4,,,,,
3-C9,24.0,COc1ccc2ccccc2c1-c1ccccc1P(c1ccccc1)c1ccccc1,COc1ccc2c(c1c1ccccc1P(c1ccccc1)c1ccccc1)cccc2,C29H23OP,418.0,54.0,,"1160620-58-5, 931104-12-0 (1S)",,,,,
PhXPhos,25.0,CC(C)c1cc(C(C)C)c(-c2ccccc2P(c2ccccc2)c2ccccc2)c(C(C)C)c1,CC(c1cc(cc(c1c1ccccc1P(c1ccccc1)c1ccccc1)C(C)C)C(C)C)C,C33H37P,465.0,71.0,,819867-23-7,,,414314140,,
35CF3_PhSPhos,26.0,COc1cccc(OC)c1-c1ccccc1P(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,COc1cccc(c1c1ccccc1P(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)OC,C30H19F12O2P,670.0,64.0,,1807456-95-6,,,,,
PhSPhos-D2 (oTolSPhos),27.0,COc1cccc(OC)c1-c1ccccc1P(c1ccccc1C)c1ccccc1C,COc1cccc(c1c1ccccc1P(c1ccccc1C)c1ccccc1C)OC,C28H27O2P,426.0,58.0,,2252175-55-4,,,,,
4CF3_PhSPhos,28.0,COc1cccc(OC)c1-c1ccccc1P(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1,COc1cccc(c1c1ccccc1P(c1ccc(cc1)C(F)(F)F)c1ccc(cc1)C(F)(F)F)OC,C28H21F6O2P,534.0,58.0,,1255536-51-6,,,,,
35CF3_PhXPhos,29.0,CC(C)c1cc(C(C)C)c(-c2ccccc2P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c(C(C)C)c1,CC(c1cc(cc(c1c1ccccc1P(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)C(C)C)C(C)C)C,C37H33F12P,737.0,83.0,,1198293-78-5,,,,,
PtBu2Cy,30.0,CC(C)(C)P(C1CCCCC1)C(C)(C)C,CC(P(C(C)(C)C)C1CCCCC1)(C)C,C14H29P,228.0,44.0,ME065,436865-11-1,"many, 2143022-27-7 (HBF4)",,41482487,,LKB43
PtBu2Ph,31.0,CC(C)(C)P(c1ccccc1)C(C)(C)C,CC(P(C(C)(C)C)c1ccccc1)(C)C,C14H23P,222.0,38.0,ME084,32673-25-9,"many, 612088-55-8 (HBF4)",,"30408426, 243155442",,LKB111
PtBuCy2,32.0,CC(C)(C)P(C1CCCCC1)C1CCCCC1,CC(P(C1CCCCC1)C1CCCCC1)(C)C,C16H31P,254.0,48.0,ME063,93634-87-8,"1220349-00-7 (HBF4), 1239667-55-0 (HBHR3)",,41482485,,LKB50
35CF3_PhRuPhos,33.0,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,CC(Oc1cccc(c1c1ccccc1P(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)c1cc(cc(c1)C(F)(F)F)C(F)(F)F)OC(C)C)C,C34H27F12O2P,727.0,76.0,,not on scifinder,,,,,
4CF3_PhRuPhos,34.0,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1,CC(Oc1cccc(c1c1ccccc1P(c1ccc(cc1)C(F)(F)F)c1ccc(cc1)C(F)(F)F)OC(C)C)C,C32H29F6O2P,591.0,70.0,,not on scifinder,,,,,
4CF3_PhXPhos,35.0,CC(C)c1cc(C(C)C)c(-c2ccccc2P(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)c(C(C)C)c1,CC(c1cc(cc(c1c1ccccc1P(c1ccc(cc1)C(F)(F)F)c1ccc(cc1)C(F)(F)F)C(C)C)C(C)C)C,C35H35F6P,601.0,77.0,,2252175-56-5,,,,,
"AZ-Phos, PtBu2(2(4-Ph-Ph)-Ph)",36.0,CC(C)(C)P(c1ccccc1-c1ccc(-c2ccccc2)cc1)C(C)(C)C,CC(C)(C)P(c1c(c2ccc(c3ccccc3)cc2)cccc1)C(C)(C)C,C26H31P,374.0,58.0,,2102407-86-1,,,,,
"cBRIDP, MoPhos",37.0,CC(C)(C)P(C(C)(C)C)[C@]1(C)CC1(c1ccccc1)c1ccccc1,CC(P([C@]1(C)CC1(c1ccccc1)c1ccccc1)C(C)(C)C)(C)C,C24H33P,352.0,58.0,ME273,742103-27-1,,,156331575,,LKB61
Cy-cBRIDP,38.0,C[C@@]1(P(C2CCCCC2)C2CCCCC2)CC1(c1ccccc1)c1ccccc1,C[C@]1(CC1(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,C28H37P,405.0,66.0,ME274,1023330-38-2,,,187815808,,
Cy-vBRIDP,39.0,CC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,C/C(P(C1CCCCC1)C2CCCCC2)=C(C3=CC=CC=C3)/C4=CC=CC=C4,C27H35P,391.0,63.0,ME276,384842-24-4,,,185120088,,
HiersoPhos(Ph),40.0,Cc1ccc(P(c2ccccc2)c2ccc(C)o2)o1,CC1=CC=C(O1)P(C2=CC=CC=C2)C3=CC=C(C)O3,C16H15O2P,270.0,34.0,,not on scifinder,,,,,
"PnBu2_2-imidazolePh, Imidazol_Ph_PPnBu2",41.0,CCCCP(CCCC)c1ccccc1-n1ccnc1,CCCCP(c1ccccc1n1cncc1)CCCC,C17H25N2P,288.0,45.0,,not on scifinder,,,,,
JohnPhos,42.0,CC(C)(C)P(c1ccccc1-c1ccccc1)C(C)(C)C,CC(P(C(C)(C)C)c1ccccc1c1ccccc1)(C)C,C20H27P,298.0,48.0,ME027,224311-51-7,"1206157-13-2 (HCl), 853073-55-9 (HBR4)",,28849538,,LKB162
NPh-imidazole_PiBu2,43.0,CC(C)CP(CC(C)C)c1nccn1-c1ccccc1,CC(CP(c1nccn1c1ccccc1)CC(C)C)C,C17H25N2P,288.0,45.0,,1610605-28-1,,,,,
"NPh-Pyrrole-PCy2, CataCXiumPCy",44.0,c1ccc(-n2cccc2P(C2CCCCC2)C2CCCCC2)cc1,C1CCC(CC1)P(c1cccn1c1ccccc1)C1CCCCC1,C22H30NP,339.0,54.0,ME013,672937-60-9,,,156331590,,LKB182
NPh-Pyrrole-PEt2,45.0,CCP(CC)c1cccn1-c1ccccc1,CCP(c1cccn1c1ccccc1)CC,C14H18NP,231.0,34.0,,1481698-42-3,,,,,
NPh-Pyrrole-PiBu2,46.0,CC(C)CP(CC(C)C)c1cccn1-c1ccccc1,CC(CP(c1cccn1c1ccccc1)CC(C)C)C,C18H26NP,287.0,46.0,,1610605-60-1,,,,,
NPh-Pyrrole-PiPr2,47.0,CC(C)P(c1cccn1-c1ccccc1)C(C)C,CC(P(c1cccn1c1ccccc1)C(C)C)C,C16H22NP,259.0,40.0,,1257847-61-2,,,,,
NPh-Pyrrole-PnBu2,48.0,CCCCP(CCCC)c1cccn1-c1ccccc1,CCCCP(c1cccn1c1ccccc1)CCCC,C18H26NP,287.0,46.0,,1610605-27-0,,,,,
P(246iPrPh)3,49.0,CC(C)c1cc(C(C)C)c(P(c2c(C(C)C)cc(C(C)C)cc2C(C)C)c2c(C(C)C)cc(C(C)C)cc2C(C)C)c(C(C)C)c1,CC(C)C1=CC(C(C)C)=CC(C(C)C)=C1P(C2=C(C=C(C(C)C)C=C2C(C)C)C(C)C)C(C(C(C)C)=CC(C(C)C)=C3)=C3C(C)C,C45H69P,641.0,115.0,,476486-46-1,"many, 1526938-95-3 (perchlorate)",,,,
"P(246OMePh)3, TTMPP",50.0,COc1cc(OC)c(P(c2c(OC)cc(OC)cc2OC)c2c(OC)cc(OC)cc2OC)c(OC)c1,COc1cc(OC)cc(c1P(c1c(OC)cc(cc1OC)OC)c1c(OC)cc(cc1OC)OC)OC,C27H33O9P,533.0,70.0,ME119,91608-15-0,"many, 91608-17-2 (perchlorate)",,28802241,,
P(26iPrPh)3,51.0,CC(C)c1cccc(C(C)C)c1P(c1c(C(C)C)cccc1C(C)C)c1c(C(C)C)cccc1C(C)C,CC(C)C1=CC=CC(C(C)C)=C1P(C2=C(C=CC=C2C(C)C)C(C)C)C(C(C(C)C)=CC=C3)=C3C(C)C,C36H51P,515.0,88.0,,856259-64-8,,,,,
P(26Me4OMePh)3,52.0,COc1cc(C)c(P(c2c(C)cc(OC)cc2C)c2c(C)cc(OC)cc2C)c(C)c1,COc1cc(C)c(c(c1)C)P(c1c(C)cc(cc1C)OC)c1c(C)cc(cc1C)OC,C27H33O3P,437.0,64.0,,133833-73-5,,,,,
P(26OMePh)3,53.0,COc1cccc(OC)c1P(c1c(OC)cccc1OC)c1c(OC)cccc1OC,COc1cccc(c1P(c1c(OC)cccc1OC)c1c(OC)cccc1OC)OC,C24H27O6P,442.0,58.0,ME191,85417-41-0,"many, 123317-07-7 (HCl)",,28804041,,
"P(2-furyl)3, TFP",54.0,c1coc(P(c2ccco2)c2ccco2)c1,c1coc(c1)P(c1ccco1)c1ccco1,C12H9O3P,232.0,25.0,ME120,5518-52-5,,,27848422,,LKB017
P(2iPr4OMePh)3,55.0,COc1ccc(P(c2ccc(OC)cc2C(C)C)c2ccc(OC)cc2C(C)C)c(C(C)C)c1,COc1ccc(c(c1)C(C)C)P(c1ccc(cc1C(C)C)OC)c1ccc(cc1C(C)C)OC,C30H39O3P,479.0,73.0,,849192-02-5,,,,,
P(2Me4OMePh)3,56.0,COc1ccc(P(c2ccc(OC)cc2C)c2ccc(OC)cc2C)c(C)c1,COc1ccc(c(c1)C)P(c1ccc(cc1C)OC)c1ccc(cc1C)OC,C24H27O3P,394.0,55.0,,149453-66-7,,,,,
P(DEA)2Ph,57.0,CCN(CC)P(c1ccccc1)N(CC)CC,CCN(P(C1=CC=CC=C1)N(CC)CC)CC,C14H25N2P,252.0,42.0,,1636-14-2,,,28789595,,
P(DiPA)2Ph,58.0,CC(C)N(C(C)C)P(c1ccccc1)N(C(C)C)C(C)C,CC(C)N(P(C1=CC=CC=C1)N(C(C)C)C(C)C)C(C)C,C18H33N2P,308.0,54.0,,81261-28-1,,,,,
P(DMA)2Ph,59.0,CN(C)P(c1ccccc1)N(C)C,CN(P(C1=CC=CC=C1)N(C)C)C,C10H17N2P,196.0,30.0,,6143-71-1,82757-10-6 (trifluoro methanesulfonic acid),,,,
P(mesityl)3,60.0,Cc1cc(C)c(P(c2c(C)cc(C)cc2C)c2c(C)cc(C)cc2C)c(C)c1,Cc1cc(C)cc(c1P(c1c(C)cc(cc1C)C)c1c(C)cc(cc1C)C)C,C27H33P,389.0,61.0,ME112,23897-15-6,"many, 930301-82-9 (HBHR3)",1174679-63-0,27646891,,
P(4FPh)3,61.0,Fc1ccc(P(c2ccc(F)cc2)c2ccc(F)cc2)cc1,Fc1ccc(cc1)P(c1ccc(cc1)F)c1ccc(cc1)F,C18H12F3P,316.0,34.0,ME122,18437-78-0,,61249-15-8,28423708,,LKB66
P(4OMePh)3,62.0,COc1ccc(P(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,COc1ccc(cc1)P(c1ccc(cc1)OC)c1ccc(cc1)OC,C21H21O3P,352.0,46.0,ME118,855-38-9,"many, 1255640-55-1 (HBF4)",61249-12-5,27905654,395102,LKB77
P(2iPrPh)3,63.0,CC(C)c1ccccc1P(c1ccccc1C(C)C)c1ccccc1C(C)C,CC(c1ccccc1P(c1ccccc1C(C)C)c1ccccc1C(C)C)C,C27H33P,389.0,61.0,,139026-11-2,,,,,
"PAd2Bn, cataCXium Abn",64.0,C1C2CC3CC1CC(C2)(C3)P(C12CC3CC(C2)CC(C1)C3)Cc1ccccc1,C1[C@@H]2C[C@@H]3C[C@H]1C[C@](C2)(C3)P([C@]12C[C@H]3C[C@@H](C2)C[C@@H](C1)C3)Cc1ccccc1,C27H37P,393.0,65.0,ME081,395116-70-8,554432-01-8 (HBr),,"128701413, 156331591, 939889227",,LKB52
PBn3,65.0,c1ccc(CP(Cc2ccccc2)Cc2ccccc2)cc1,P(CC1=CC=CC=C1)(CC2=CC=CC=C2)CC3=CC=CC=C3,C21H21P,304.0,43.0,ME073,7650-89-7,"1005516-96-0 (HBr), 1532565-26-6 (HCl)",63832-83-7,28768931,,LKB022
PCy2Et,66.0,CCP(C1CCCCC1)C1CCCCC1,CCP(C1CCCCC1)C1CCCCC1,C14H27P,226.0,42.0,,46392-44-3,"1215113-73-7 (HBF4), 1215113-70-4 (HI)",,187813372,,
PCy2oTol,67.0,Cc1ccccc1P(C1CCCCC1)C1CCCCC1,Cc1ccccc1P(C1CCCCC1)C1CCCCC1,C19H29P,288.0,49.0,ME087,173593-25-4,,,73651971,,
PCy2Ph,68.0,c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,C1CCC(CC1)P(c1ccccc1)C1CCCCC1,C18H27P,274.0,46.0,ME086,6476-37-5,"many, 161054-07-5 (HBF4)",,28423716,288284,LKB113
"PCy2(4NMe2Ph), CyAtaPhos",69.0,CN(C)c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,CN(c1ccc(cc1)P(C1CCCCC1)C1CCCCC1)C,C20H32NP,317.0,54.0,ME097,40438-64-0,,,28790540,692689,
PCyp3,70.0,C1CCC(P(C2CCCC2)C2CCCC2)C1,C1CCC(C1)P(C1CCCC1)C1CCCC1,C15H27P,238.0,43.0,ME059,7650-88-6,"many, 610756-04-2 (HBF4)",,28802231,,LKB020
PtBu2_4PhCF3,71.0,CC(C)(C)P(c1ccc(C(F)(F)F)cc1)C(C)(C)C,CC(P(C(C)(C)C)c1ccc(cc1)C(F)(F)F)(C)C,C15H22F3P,290.0,41.0,ME099,1228182-34-0,2173329-93-4 (HBF4),,295174849,,
PEt2Ph,72.0,CCP(CC)c1ccccc1,CCP(c1ccccc1)CC,C10H15P,166.0,26.0,ME083,1605-53-4,"many, 20515-49-5 (HBr)",1200733-29-4,28794152,,LKB108
PEtPh2,73.0,CCP(c1ccccc1)c1ccccc1,CCP(c1ccccc1)c1ccccc1,C14H15P,214.0,30.0,ME310,607-01-2,"many, 897015-28-0 (HBF4)",367252-35-5,28799003,,LKB99
"PnBu2(N-nBu,5-Ph-1,2,3-Triazole), Ph_isotriazole_PnBu2",74.0,CCCCn1nnc(P(CCCC)CCCC)c1-c1ccccc1,CCCCP(c1nnn(c1c1ccccc1)CCCC)CCCC,C20H32N3P,345.0,56.0,,not on scifinder,,,,,
P(OPh)3 Phosphite,75.0,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,c1ccc(cc1)OP(Oc1ccccc1)Oc1ccccc1,C18H15O3P,310.0,37.0,,101-02-0,59616-66-9 (3HCl),24151-49-3,28759440,,LKB229
PhRuPhos,76.0,CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(c1ccccc1)c1ccccc1,CC(Oc1cccc(c1c1ccccc1P(c1ccccc1)c1ccccc1)OC(C)C)C,C30H31O2P,455.0,64.0,,not on scifinder,,,,,
PPhiPr2,77.0,CC(C)P(c1ccccc1)C(C)C,CC(P(c1ccccc1)C(C)C)C,C12H19P,194.0,32.0,,6372-43-6,"many, 20515-51-9 (HBr)",,30444558,,LKB110
PtBuiPr2,78.0,CC(C)P(C(C)C)C(C)(C)C,CC(P(C(C)(C)C)C(C)C)C,C10H23P,174.0,34.0,,51567-05-6,1239667-53-8 (HBHR3),,70308980,,LKB37
PiPr3,79.0,CC(C)P(C(C)C)C(C)C,CC(P(C(C)C)C(C)C)C,C9H21P,160.0,31.0,ME053,6476-36-4,"many, 121099-07-8 (HBF4)",19287-81-1,"28762514, 243270965",,LKB010
PMe2Ph,80.0,CP(C)c1ccccc1,CP(c1ccccc1)C,C8H11P,138.0,20.0,,672-66-2,"many, 104155-38-6 (HBF4)",24151-41-5,28769415,,LKB106
PMePh2,81.0,CP(c1ccccc1)c1ccccc1,CP(c1ccccc1)c1ccccc1,C13H13P,200.0,27.0,ME309,1486-28-8,"many, 897015-27-9 (HBF4)",54845-04-4,28776739,,LKB97
PmTol3,82.0,Cc1cccc(P(c2cccc(C)c2)c2cccc(C)c2)c1,Cc1cccc(c1)P(c1cccc(c1)C)c1cccc(c1)C,C21H21P,304.0,43.0,ME186,6224-63-1,,61249-08-9,27650545,,LKB73
PnPr3,83.0,CCCP(CCC)CCC,CCCP(CCC)CCC,C9H21P,160.0,31.0,,2234-97-1,"206193-90-0 (HBr), 1541128-37-3 (HCl)",1200732-94-0,28246406,,LKB009
PallylPh2,84.0,C=CCP(c1ccccc1)c1ccccc1,C=CCP(c1ccccc1)c1ccccc1,C15H15P,226.0,31.0,ME312,2741-38-0,142132-60-3 (HBr),,28788966,336874,
PPh2iPr,85.0,CC(C)P(c1ccccc1)c1ccccc1,CC(P(c1ccccc1)c1ccccc1)C,C15H17P,228.0,33.0,ME093,6372-40-3,"20515-56-4 (HBr), 67284-11-1 (fluorosulfuric acid)",,28806415,336920,LKB101
PPh2pStyrene,86.0,C=Cc1ccc(P(c2ccccc2)c2ccccc2)cc1,C=Cc1ccc(cc1)P(c1ccccc1)c1ccccc1,C20H17P,288.0,38.0,,40538-11-2,147933-70-8 (HBr),,28841679,,
PtBu2Et,87.0,CCP(C(C)(C)C)C(C)(C)C,CCP(C(C)(C)C)C(C)(C)C,C10H23P,174.0,34.0,,25032-48-8,"many, 118250-29-6 (HI)",,30569270,,
PnButBu2,88.0,CCCCP(C(C)(C)C)C(C)(C)C,CCCCP(C(C)(C)C)C(C)(C)C,C12H27P,202.0,40.0,ME070,29949-72-2,"1816254-91-7 (HBF4), 853073-48-0 (HBR4)",,30569271,,
tBuBrettPhos,89.0,COc1ccc(OC)c(P(C(C)(C)C)C(C)(C)C)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C,COc1ccc(c(c1c1c(cc(cc1C(C)C)C(C)C)C(C)C)P(C(C)(C)C)C(C)(C)C)OC,C31H49O2P,485.0,83.0,ME007,1160861-53-9,,,245531646,730998,
tBuXPhos,90.0,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1,CC(c1cc(cc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C,C29H45P,425.0,75.0,ME001,564483-19-8,"1425052-64-7 (HBF4), 1353896-98-6 (HBR4)",,"101380111, 423865258",,LKB179
vBRIDP,91.0,CC(=C(c1ccccc1)c1ccccc1)P(C(C)(C)C)C(C)(C)C,CC(=C(c1ccccc1)c1ccccc1)P(C(C)(C)C)C(C)(C)C,C23H31P,338.0,55.0,ME275,384842-25-5,,,295174860,,
tBuSPhos,92.0,COc1cccc(OC)c1-c1ccccc1P(C(C)(C)C)C(C)(C)C,COc1cccc(c1c1ccccc1P(C(C)(C)C)C(C)(C)C)OC,C22H31O2P,358.0,56.0,,819867-21-5,,,370706644,,LKB173
PnBu2pyrrolePh,93.0,CCCCP(CCCC)c1ccccc1-n1cccc1,CCCCP(c1ccccc1n1cccc1)CCCC,C18H26NP,287.0,46.0,,1610605-62-3,,,,,
NPh-imidazole_PnBu2,94.0,CCCCP(CCCC)c1nccn1-c1ccccc1,CCCCP(c1nccn1c1ccccc1)CCCC,C17H25N2P,288.0,45.0,,1610605-61-2,,,,,
PMePh(2OMePh),95.0,COc1ccccc1P(C)c1ccccc1,COc1ccccc1P(c1ccccc1)C,C14H15OP,230.0,31.0,,"1485-88-7 (no stereo), 35144-01-5 (PR), 65337-14-6 (PS)",,,28804030,,
PMeNEt2Ph,96.0,CCN(CC)P(C)c1ccccc1,CCN(P(c1ccccc1)C)CC,C11H18NP,195.0,31.0,,"708-90-7 (no stereo), 71162-23-7 (PR) ",,,,,
PMeOMeC6F5,97.0,COP(C)c1c(F)c(F)c(F)c(F)c1F,COP(c1c(F)c(F)c(c(c1F)F)F)C,C8H6F5OP,244.0,21.0,,446254-04-2,,,,,
PMeOiPrC6F5,98.0,CC(C)OP(C)c1c(F)c(F)c(F)c(F)c1F,CC(OP(c1c(F)c(F)c(c(c1F)F)F)C)C,C10H10F5OP,272.0,27.0,,446254-05-3,,,,,
CF3JohnPhos,99.0,FC(F)(F)P(c1ccccc1-c1ccccc1)C(F)(F)F,FC(P(C(F)(F)F)c1ccccc1c1ccccc1)(F)F,C14H9F6P,322.0,30.0,,not on scifinder,,,,,
CF3SPhos,100.0,COc1cccc(OC)c1-c1ccccc1P(C(F)(F)F)C(F)(F)F,COc1cccc(c1c1ccccc1P(C(F)(F)F)C(F)(F)F)OC,C16H13F6O2P,382.0,38.0,,not on scifinder,,,,,
CF3XPhos,101.0,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C(F)(F)F)C(F)(F)F)c(C(C)C)c1,CC(c1cc(cc(c1c1ccccc1P(C(F)(F)F)C(F)(F)F)C(C)C)C(C)C)C,C23H27F6P,448.0,57.0,,not on scifinder,,,,,
