L2NiF2,ee,ΔΔG‡,HOMO,LUMO,softness,Dipole,Pol,Torsion,VBur,B1,B5,BL,VolNi,Volavg X,NBOC1,NBON1,NBOC2,NBOC3,NBOX,NBOC4,νCNssy,iCNssy,νCNsas,iCNsas
L16,62,0.86,-0.266,-0.043,6.47,4.91,293.2,12.47,50.2,3.19,10.34,5.38,0.715,0.498,0.521,-0.467,-0.089,-0.09,-0.44,-0.41,1773,120.51,1758,50.86
L17,62,0.86,-0.283,-0.045,6.1,6.03,282.6,11.61,50.2,3.2,9.7,5.75,0.713,0.498,0.521,-0.467,-0.088,-0.09,-0.439,-0.413,1773,121.56,1759,52.51
L18,57,0.77,-0.295,-0.048,5.83,5.51,373.2,19.39,34.2,3.11,13.48,8.07,0.613,0.496,0.523,-0.485,-0.087,-0.092,-0.438,-0.415,1756,119.38,1754,41.93
L19,62,0.86,-0.343,-0.068,4.86,7.2,297.6,20.2,34.7,3.1,12.48,5.59,0.617,0.494,0.526,-0.488,-0.087,-0.093,-0.433,-0.426,1752,119.9,1752,44.32
L20,63,0.88,-0.264,-0.04,6.57,5.22,286.7,12.34,51.8,3.22,9.29,5.23,0.724,0.5,0.521,-0.475,-0.094,-0.089,-0.44,-0.412,1771,108.62,1762,62.8
L21,50,0.65,-0.261,-0.032,6.82,6.11,328.8,20.42,54.9,4.04,9.66,6.32,0.742,0.508,0.536,-0.474,-0.081,-0.091,-0.44,-0.429,1769,147.37,1762,31.3
L22,59,0.8,-0.271,-0.049,6.23,7.65,355.5,12.04,37.9,3.11,8.05,6.27,0.633,0.528,0.532,-0.49,-0.088,-0.094,-0.433,-0.418,1762,88.07,1755,56.44
L23,64,0.9,-0.255,-0.047,6.62,9.07,314.7,8.95,38.5,1.9,12.76,5.8,0.636,0.52,0.531,-0.491,-0.088,-0.094,-0.434,-0.413,1763,86.98,1755,58.23
L24,55,0.73,-0.256,-0.058,6.37,7.15,337.7,13.81,38.8,1.93,11.43,5.44,0.642,0.537,0.527,-0.485,-0.096,-0.096,-0.435,-0.391,1765,108.31,1759,48.31
L25,53,0.7,-0.292,-0.045,5.94,4.9,381,1.21,66.4,3.15,9.21,6.12,0.821,0.507,0.528,-0.471,-0.078,-0.09,-0.438,-0.253,1763,88.79,1772,80.29
L6,89,1.68,-0.282,-0.042,6.18,11.38,406.2,20.51,47.1,2.42,9.26,4.58,0.702,0.813,0.431,-0.496,-0.062,-0.215,-0.423,-0.207,1697,208.43,1706,31.66
L7,85,1.49,-0.286,-0.045,6.05,10.94,309.3,20.11,47,1.91,8.29,4.58,0.702,0.81,0.429,-0.493,-0.062,-0.217,-0.424,-0.207,1697,225.65,1707,25.43
L8,75,1.15,-0.299,-0.058,5.59,8.44,334,20.58,46.8,1.98,8.73,4.59,0.7,0.815,0.425,-0.483,-0.062,-0.218,-0.427,-0.208,1702,208.68,1712,21.59
L26,85,1.49,-0.281,-0.041,6.22,12.09,411.8,19.46,47.1,1.91,10.49,4.58,0.704,0.808,0.43,-0.496,-0.062,-0.216,-0.422,-0.207,1693,250.96,1705,28.68
L27,84,1.45,-0.3,-0.053,5.66,5.08,339.2,30.66,42.9,2.16,9.71,4.61,0.671,0.784,0.445,-0.503,-0.065,-0.22,-0.421,-0.218,1693,32.25,1713,91.42
L28,75,1.15,-0.305,-0.036,5.86,11.31,201.8,8.03,41.3,2.73,7.7,4.57,0.66,0.692,0.408,-0.487,-0.055,-0.224,-0.403,-0.214,1772,138.28,1759,42.75
L29,86,1.53,-0.298,-0.033,6.04,10.47,331.3,5.22,44.2,2.72,8.48,4.55,0.679,0.78,0.422,-0.508,-0.055,-0.224,-0.402,-0.213,1762,159.49,1748,71.7
L4,87,1.58,-0.298,-0.039,5.93,11.62,214.26,2.52,46.1,2.7,7.37,4.55,0.696,0.696,0.421,-0.485,-0.065,-0.219,-0.407,-0.21,1688,187.31,1710,16.98
L5,90,1.74,-0.296,-0.038,5.98,11.72,237.95,4.24,45.9,2.7,7.28,4.55,0.696,0.734,0.423,-0.489,-0.064,-0.216,-0.409,-0.21,1688,206.93,1710,22.94
