,ligand_name,ligand_smiles,electrophile_name,electrophile_id,electrophile_smiles,nucleophile_name,nucleophile_id,nucleophile_smiles,product_smiles,yield
35,"P(3,5-CF3-Ph)3",FC(F)(F)c1cc(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,83.51
40,tBPh-CPhos,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,92.83
42,Cy-BippyPhos,c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C2CCCCC2)C2CCCCC2)cc1,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,90.82
43,PCy3 HBF4,C1(P(C2CCCCC2)C3CCCCC3)CCCCC1,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,80.36
44,CgMe-PPh,CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,88.24
45,PPh3,c1ccc(P(c2ccccc2)c2ccccc2)cc1,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,83.9
46,X-Phos,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,79.09
47,PnBu3 HBF4,CCCCP(CCCC)CCCC,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(=O)c1ccc(-c2cnc(C(C)C)n2C)s1,89.2
48,A-caPhos,CN(C)c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,5-Bromobenzofuran,e3,Brc1ccc2occc2c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,65.05
50,CX-FBu,CCCCC1(c2c(c3c1cccc3)cccc2)P(C4CCCCC4)C5CCCCC5,5-Bromobenzofuran,e3,Brc1ccc2occc2c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,3.4
54,Kwong,c1ccc(-c2cc3ccccc3n2P(C2CCCCC2)C2CCCCC2)cc1,5-Bromobenzofuran,e3,Brc1ccc2occc2c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,66.61
56,P(o-Anis)3,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,5-Bromobenzofuran,e3,Brc1ccc2occc2c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,8.6
59,"P(3,5-CF3-Ph)3",FC(F)(F)c1cc(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,5-Bromobenzofuran,e3,Brc1ccc2occc2c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,54.43
64,tBPh-CPhos,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,5-Bromobenzofuran,e3,Brc1ccc2occc2c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,70.68
66,Cy-BippyPhos,c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C2CCCCC2)C2CCCCC2)cc1,5-Bromobenzofuran,e3,Brc1ccc2occc2c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,67.55
67,PCy3 HBF4,C1(P(C2CCCCC2)C3CCCCC3)CCCCC1,5-Bromobenzofuran,e3,Brc1ccc2occc2c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,62.89
68,CgMe-PPh,CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,5-Bromobenzofuran,e3,Brc1ccc2occc2c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,69.21
69,PPh3,c1ccc(P(c2ccccc2)c2ccccc2)cc1,5-Bromobenzofuran,e3,Brc1ccc2occc2c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,61.55
70,X-Phos,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,5-Bromobenzofuran,e3,Brc1ccc2occc2c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,67.34
71,PnBu3 HBF4,CCCCP(CCCC)CCCC,5-Bromobenzofuran,e3,Brc1ccc2occc2c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2ccc3occc3c2)n1C,43.98
72,A-caPhos,CN(C)c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,5-Bromo-N-tert-butylpyridine-3-sulfonamide,e5,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,79.94
74,CX-FBu,CCCCC1(c2c(c3c1cccc3)cccc2)P(C4CCCCC4)C5CCCCC5,5-Bromo-N-tert-butylpyridine-3-sulfonamide,e5,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,14.98
78,Kwong,c1ccc(-c2cc3ccccc3n2P(C2CCCCC2)C2CCCCC2)cc1,5-Bromo-N-tert-butylpyridine-3-sulfonamide,e5,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,74.29
80,P(o-Anis)3,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,5-Bromo-N-tert-butylpyridine-3-sulfonamide,e5,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,21.07
83,"P(3,5-CF3-Ph)3",FC(F)(F)c1cc(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,5-Bromo-N-tert-butylpyridine-3-sulfonamide,e5,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,70.8
88,tBPh-CPhos,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,5-Bromo-N-tert-butylpyridine-3-sulfonamide,e5,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,79.79
90,Cy-BippyPhos,c1ccc(-c2nn(-c3ccccc3)c(-c3ccccc3)c2-n2nccc2P(C2CCCCC2)C2CCCCC2)cc1,5-Bromo-N-tert-butylpyridine-3-sulfonamide,e5,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,78.48
